xi,E_mu_0.3,E_mu_0.7
0.00000000,0.00000000,0.00000000
0.00629578,0.00629578,0.00629578
0.01259155,0.01259155,0.01259155
0.01888733,0.01888733,0.01888733
0.02518311,0.02518311,0.02518311
0.03147888,0.03147888,0.03147888
0.03777466,0.03777466,0.03777466
0.04407044,0.04407044,0.04407044
0.05036621,0.05036621,0.05036621
0.05666199,0.05666199,0.05666199
0.06295777,0.06295777,0.06295777
0.06925355,0.06925355,0.06925355
0.07554932,0.07554932,0.07554932
0.08184510,0.08184510,0.08184510
0.08814088,0.08814088,0.08814088
0.09443665,0.09443665,0.09443665
0.10073243,0.10073243,0.10073243
0.10702821,0.10702821,0.10702821
0.11332398,0.11332398,0.11332398
0.11961976,0.11961976,0.11961976
0.12591554,0.12591554,0.12591554
0.13221131,0.13221131,0.13221131
0.13850709,0.13850709,0.13850709
0.14480287,0.14480287,0.14480287
0.15109864,0.15109864,0.15109864
0.15739442,0.15739442,0.15739442
0.16369020,0.16369020,0.16369020
0.16998598,0.16998598,0.16998598
0.17628175,0.17628175,0.17628175
0.18257753,0.18257753,0.18257753
0.18887331,0.18887331,0.18887331
0.19516908,0.19516908,0.19516908
0.20146486,0.20146486,0.20146486
0.20776064,0.20776064,0.20776064
0.21405641,0.21405641,0.21405641
0.22035219,0.22035219,0.22035219
0.22664797,0.22664797,0.22664797
0.23294374,0.23294374,0.23294374
0.23923952,0.23923952,0.23923952
0.24553530,0.24553530,0.24553530
0.25183107,0.25183107,0.25183107
0.25812685,0.25812685,0.25812685
0.26442263,0.26442263,0.26442263
0.27071841,0.27071841,0.27071841
0.27701418,0.27701418,0.27701418
0.28330996,0.28330996,0.28330996
0.28960574,0.28960574,0.28960574
0.29590151,0.29590151,0.29590151
0.30219729,0.30219729,0.30219729
0.30849307,0.30849307,0.30849307
0.31478884,0.31478884,0.31478884
0.32108462,0.32108462,0.32108462
0.32738040,0.32738040,0.32738040
0.33367617,0.33367617,0.33367617
0.33997195,0.33997195,0.33997195
0.34626773,0.34626773,0.34626773
0.35256350,0.35256350,0.35256350
0.35885928,0.35885928,0.35885928
0.36515506,0.36515506,0.36515506
0.37145083,0.37145083,0.37145083
0.37774661,0.37774661,0.37774661
