k,E1_c_2.0,E2_c_2.0,E1_c_5.0,E2_c_5.0,E1_c_20.0,E2_c_20.0
0.00100000,0.00141421,1.73205167,0.00223606,2.44949403,0.00447210,4.58261727
0.01103010,0.01559860,1.73215617,0.02466005,2.45001125,0.04927661,4.58763106
0.02106020,0.02978142,1.73243491,0.04706422,2.45139079,0.09382707,4.60098390
0.03109030,0.04396124,1.73288789,0.06943060,2.45363224,0.13789909,4.62261757
0.04112040,0.05813665,1.73351509,0.09174141,2.45673494,0.18128036,4.65243842
0.05115050,0.07230621,1.73431649,0.11397908,2.46069797,0.22377553,4.69031880
0.06118060,0.08646851,1.73529206,0.13612632,2.46552010,0.26521027,4.73609892
0.07121070,0.10062214,1.73644177,0.15816622,2.47119981,0.30543431,4.78958939
0.08124080,0.11476567,1.73776557,0.18008228,2.47773528,0.34432327,4.85057406
0.09127090,0.12889771,1.73926343,0.20185852,2.48512434,0.38177951,4.91881346
0.10130100,0.14301686,1.74093528,0.22347949,2.49336442,0.41773183,4.99404839
0.11133110,0.15712173,1.74278106,0.24493038,2.50245261,0.45213435,5.07600384
0.12136120,0.17121091,1.74480071,0.26619703,2.51238557,0.48496460,5.16439296
0.13139130,0.18528305,1.74699415,0.28726602,2.52315948,0.51622121,5.25892092
0.14142140,0.19933677,1.74936129,0.30812468,2.53477011,0.54592110,5.35928873
0.15145151,0.21337072,1.75190203,0.32876118,2.54721271,0.57409666,5.46519660
0.16148161,0.22738354,1.75461627,0.34916450,2.56048202,0.60079289,5.57634717
0.17151171,0.24137390,1.75750390,0.36932454,2.57457225,0.62606462,5.69244811
0.18154181,0.25534049,1.76056479,0.38923208,2.58947707,0.64997402,5.81321444
0.19157191,0.26928198,1.76379880,0.40887884,2.60518958,0.67258833,5.93837039
0.20160201,0.28319709,1.76720578,0.42825748,2.62170233,0.69397792,6.06765075
0.21163211,0.29708453,1.77078557,0.44736159,2.63900729,0.71421462,6.20080197
0.22166221,0.31094305,1.77453799,0.46618573,2.65709585,0.73337036,6.33758280
0.23169231,0.32477140,1.77846287,0.48472539,2.67595885,0.75151610,6.47776466
0.24172241,0.33856836,1.78255998,0.50297699,2.69558657,0.76872102,6.62113183
0.25175251,0.35233271,1.78682912,0.52093787,2.71596874,0.78505180,6.76748130
0.26178261,0.36606327,1.79127004,0.53860624,2.73709459,0.80057229,6.91662257
0.27181271,0.37975888,1.79588249,0.55598121,2.75895284,0.81534314,7.06837727
0.28184281,0.39341840,1.80066621,0.57306267,2.78153173,0.82942165,7.22257868
0.29187291,0.40704071,1.80562090,0.58985134,2.80481908,0.84286170,7.37907122
0.30190301,0.42062471,1.81074625,0.60634868,2.82880229,0.85571376,7.53770989
0.31193311,0.43416934,1.81604194,0.62255683,2.85346840,0.86802494,7.69835964
0.32196321,0.44767356,1.82150760,0.63847862,2.87880411,0.87983906,7.86089481
0.33199331,0.46113637,1.82714286,0.65411749,2.90479583,0.89119684,8.02519851
0.34202341,0.47455676,1.83294734,0.66947743,2.93142974,0.90213601,8.19116208
0.35205351,0.48793381,1.83892060,0.68456294,2.95869179,0.91269150,8.35868446
0.36208361,0.50126658,1.84506220,0.69937899,2.98656778,0.92289557,8.52767173
0.37211371,0.51455419,1.85137167,0.71393095,3.01504338,0.93277801,8.69803655
0.38214381,0.52779578,1.85784851,0.72822456,3.04410417,0.94236631,8.86969769
0.39217391,0.54099054,1.86449219,0.74226588,3.07373571,0.95168581,9.04257959
0.40220401,0.55413768,1.87130216,0.75606123,3.10392352,0.96075985,9.21661196
0.41223411,0.56723645,1.87827784,0.76961713,3.13465318,0.96960993,9.39172931
0.42226421,0.58028614,1.88541861,0.78294033,3.16591032,0.97825585,9.56787067
0.43229431,0.59328607,1.89272383,0.79603768,3.19768068,0.98671584,9.74497922
0.44232441,0.60623562,1.90019283,0.80891614,3.22995012,0.99500669,9.92300195
0.45235452,0.61913419,1.90782491,0.82158274,3.26270464,1.00314385,10.10188942
0.46238462,0.63198122,1.91561933,0.83404457,3.29593045,1.01114154,10.28159547
0.47241472,0.64477620,1.92357531,0.84630868,3.32961392,1.01901287,10.46207694
0.48244482,0.65751865,1.93169206,0.85838214,3.36374168,1.02676988,10.64329351
0.49247492,0.67020814,1.93996875,0.87027196,3.39830058,1.03442369,10.82520746
0.50250502,0.68284429,1.94840451,0.88198506,3.43327773,1.04198452,11.00778344
0.51253512,0.69542675,1.95699843,0.89352831,3.46866048,1.04946181,11.19098837
0.52256522,0.70795521,1.96574959,0.90490846,3.50443651,1.05686422,11.37479121
0.53259532,0.72042941,1.97465702,0.91613214,3.54059373,1.06419976,11.55916284
0.54262542,0.73284913,1.98371971,0.92720585,3.57712039,1.07147581,11.74407594
0.55265552,0.74521419,1.99293663,0.93813595,3.61400500,1.07869915,11.92950481
0.56268562,0.75752447,2.00230672,0.94892865,3.65123639,1.08587605,12.11542531
0.57271572,0.76977987,2.01182888,0.95958999,3.68880370,1.09301229,12.30181472
0.58274582,0.78198033,2.02150197,0.97012586,3.72669636,1.10011319,12.48865164
0.59277592,0.79412587,2.03132483,0.98054198,3.76490411,1.10718366,12.67591591
0.60280602,0.80621649,2.04129627,0.99084389,3.80341701,1.11422822,12.86358852
0.61283612,0.81825229,2.05141506,1.00103696,3.84222538,1.12125106,13.05165156
0.62286622,0.83023338,2.06167994,1.01112639,3.88131988,1.12825601,13.24008808
0.63289632,0.84215991,2.07208963,1.02111719,3.92069143,1.13524662,13.42888209
0.64292642,0.85403208,2.08264282,1.03101421,3.96033126,1.14222617,13.61801847
0.65295652,0.86585011,2.09333817,1.04082212,4.00023087,1.14919767,13.80748292
0.66298662,0.87761428,2.10417430,1.05054543,4.04038205,1.15616388,13.99726190
0.67301672,0.88932488,2.11514983,1.06018845,4.08077685,1.16312738,14.18734259
0.68304682,0.90098227,2.12626333,1.06975537,4.12140758,1.17009051,14.37771282
0.69307692,0.91258681,2.13751337,1.07925017,4.16226684,1.17705544,14.56836108
0.70310702,0.92413890,2.14889849,1.08867671,4.20334744,1.18402416,14.75927643
0.71313712,0.93563899,2.16041720,1.09803866,4.24464246,1.19099851,14.95044849
0.72316722,0.94708755,2.17206799,1.10733958,4.28614521,1.19798016,15.14186739
0.73319732,0.95848506,2.18384935,1.11658283,4.32784924,1.20497067,15.33352375
0.74322742,0.96983205,2.19575973,1.12577168,4.36974830,1.21197145,15.52540866
0.75325753,0.98112908,2.20779759,1.13490923,4.41183640,1.21898379,15.71751364
0.76328763,0.99237672,2.21996136,1.14399845,4.45410771,1.22600890,15.90983060
0.77331773,1.00357557,2.23224945,1.15304219,4.49655664,1.23304784,16.10235186
0.78334783,1.01472624,2.24466027,1.16204315,4.53917778,1.24010162,16.29507007
0.79337793,1.02582939,2.25719222,1.17100395,4.58196591,1.24717114,16.48797824
0.80340803,1.03688567,2.26984369,1.17992707,4.62491600,1.25425722,16.68106970
0.81343813,1.04789576,2.28261307,1.18881486,4.66802319,1.26136061,16.87433808
0.82346823,1.05886036,2.29549872,1.19766960,4.71128279,1.26848198,17.06777730
0.83349833,1.06978017,2.30849902,1.20649344,4.75469027,1.27562194,17.26138155
0.84352843,1.08065592,2.32161233,1.21528843,4.79824129,1.28278104,17.45514528
0.85355853,1.09148835,2.33483704,1.22405654,4.84193162,1.28995978,17.64906316
0.86358863,1.10227820,2.34817149,1.23279965,4.88575719,1.29715859,17.84313013
0.87361873,1.11302623,2.36161407,1.24151952,4.92971410,1.30437787,18.03734131
0.88364883,1.12373321,2.37516314,1.25021786,4.97379854,1.31161797,18.23169205
0.89367893,1.13439990,2.38881707,1.25889629,5.01800687,1.31887919,18.42617789
0.90370903,1.14502709,2.40257425,1.26755634,5.06233555,1.32616179,18.62079454
0.91373913,1.15561556,2.41643305,1.27619948,5.10678118,1.33346601,18.81553791
0.92376923,1.16616609,2.43039186,1.28482710,5.15134048,1.34079204,19.01040407
0.93379933,1.17667947,2.44444909,1.29344054,5.19601025,1.34814004,19.20538924
0.94382943,1.18715650,2.45860315,1.30204104,5.24078744,1.35551015,19.40048980
0.95385953,1.19759795,2.47285244,1.31062981,5.28566908,1.36290248,19.59570227
0.96388963,1.20800462,2.48719540,1.31920800,5.33065231,1.37031712,19.79102330
0.97391973,1.21837730,2.50163046,1.32777667,5.37573436,1.37775412,19.98644969
0.98394983,1.22871678,2.51615609,1.33633687,5.42091255,1.38521351,20.18197835
0.99397993,1.23902382,2.53077073,1.34488956,5.46618431,1.39269533,20.37760631
1.00401003,1.24929922,2.54547288,1.35343568,5.51154712,1.40019957,20.57333070
1.01404013,1.25954374,2.56026103,1.36197611,5.55699859,1.40772622,20.76914879
1.02407023,1.26975815,2.57513368,1.37051168,5.60253636,1.41527523,20.96505792
1.03410033,1.27994321,2.59008936,1.37904318,5.64815819,1.42284657,21.16105555
1.04413043,1.29009968,2.60512661,1.38757137,5.69386189,1.43044018,21.35713921
1.05416054,1.30022829,2.62024399,1.39609695,5.73964534,1.43805598,21.55330654
1.06419064,1.31032979,2.63544008,1.40462061,5.78550649,1.44569388,21.74955527
1.07422074,1.32040490,2.65071346,1.41314299,5.83144337,1.45335380,21.94588318
1.08425084,1.33045435,2.66606275,1.42166468,5.87745407,1.46103563,22.14228816
1.09428094,1.34047884,2.68148659,1.43018626,5.92353672,1.46873925,22.33876816
1.10431104,1.35047908,2.69698361,1.43870828,5.96968952,1.47646455,22.53532120
1.11434114,1.36045576,2.71255248,1.44723124,6.01591075,1.48421139,22.73194538
1.12437124,1.37040955,2.72819190,1.45575564,6.06219871,1.49197964,22.92863885
1.13440134,1.38034114,2.74390057,1.46428193,6.10855177,1.49976915,23.12539982
1.14443144,1.39025116,2.75967721,1.47281054,6.15496835,1.50757979,23.32222659
1.15446154,1.40014028,2.77552057,1.48134188,6.20144691,1.51541139,23.51911749
1.16449164,1.41000912,2.79142941,1.48987634,6.24798597,1.52326380,23.71607090
1.17452174,1.41985832,2.80740253,1.49841427,6.29458409,1.53113686,23.91308528
1.18455184,1.42968848,2.82343871,1.50695603,6.34123987,1.53903040,24.11015912
1.19458194,1.43950020,2.83953680,1.51550193,6.38795195,1.54694426,24.30729096
1.20461204,1.44929408,2.85569562,1.52405228,6.43471903,1.55487825,24.50447940
1.21464214,1.45907069,2.87191406,1.53260736,6.48153982,1.56283222,24.70172307
1.22467224,1.46883060,2.88819098,1.54116744,6.52841309,1.57080597,24.89902066
1.23470234,1.47857436,2.90452530,1.54973277,6.57533763,1.57879934,25.09637087
1.24473244,1.48830251,2.92091593,1.55830359,6.62231229,1.58681215,25.29377248
1.25476254,1.49801558,2.93736183,1.56688011,6.66933592,1.59484420,25.49122428
1.26479264,1.50771410,2.95386194,1.57546254,6.71640744,1.60289533,25.68872512
1.27482274,1.51739855,2.97041525,1.58405109,6.76352577,1.61096534,25.88627385
1.28485284,1.52706945,2.98702076,1.59264591,6.81068987,1.61905405,26.08386938
1.29488294,1.53672728,3.00367749,1.60124719,6.85789874,1.62716127,26.28151066
1.30491304,1.54637250,3.02038447,1.60985508,6.90515141,1.63528683,26.47919665
1.31494314,1.55600557,3.03714076,1.61846972,6.95244691,1.64343053,26.67692636
1.32497324,1.56562695,3.05394544,1.62709125,6.99978432,1.65159220,26.87469882
1.33500334,1.57523707,3.07079759,1.63571980,7.04716276,1.65977163,27.07251307
1.34503344,1.58483636,3.08769632,1.64435547,7.09458133,1.66796866,27.27036822
