xi,Z,X,E
0.00000000,0.00000000,0.00000000,0.00000000
0.00629578,0.00629578,0.00000000,0.00629578
0.01259155,0.01259155,0.00000000,0.01259155
0.01888733,0.01888733,0.00000000,0.01888733
0.02518311,0.02518311,0.00000000,0.02518311
0.03147888,0.03147888,0.00000000,0.03147888
0.03777466,0.03777466,0.00000000,0.03777466
0.04407044,0.04407044,0.00000000,0.04407044
0.05036621,0.05036621,0.00000000,0.05036621
0.05666199,0.05666199,0.00000000,0.05666199
0.06295777,0.06295777,0.00000000,0.06295777
0.06925355,0.06925355,0.00000000,0.06925355
0.07554932,0.07554932,0.00000000,0.07554932
0.08184510,0.08184510,0.00000000,0.08184510
0.08814088,0.08814088,0.00000000,0.08814088
0.09443665,0.09443665,0.00000000,0.09443665
0.10073243,0.10073243,0.00000000,0.10073243
0.10702821,0.10702821,0.00000000,0.10702821
0.11332398,0.11332398,0.00000000,0.11332398
0.11961976,0.11961976,0.00000000,0.11961976
0.12591554,0.12591554,0.00000000,0.12591554
0.13221131,0.13221131,0.00000000,0.13221131
0.13850709,0.13850709,0.00000000,0.13850709
0.14480287,0.14480287,0.00000000,0.14480287
0.15109864,0.15109864,0.00000000,0.15109864
0.15739442,0.15739442,0.00000000,0.15739442
0.16369020,0.16369020,0.00000000,0.16369020
0.16998598,0.16998598,0.00000000,0.16998598
0.17628175,0.17628175,0.00000000,0.17628175
0.18257753,0.18257753,0.00000000,0.18257753
0.18887331,0.18887331,0.00000000,0.18887331
0.19516908,0.19516908,0.00000000,0.19516908
0.20146486,0.20146486,0.00000000,0.20146486
0.20776064,0.20776064,0.00000000,0.20776064
0.21405641,0.21405641,0.00000000,0.21405641
0.22035219,0.22035219,0.00000000,0.22035219
0.22664797,0.22664797,0.00000000,0.22664797
0.23294374,0.23294374,0.00000000,0.23294374
0.23923952,0.23923952,0.00000000,0.23923952
0.24553530,0.24553530,0.00000000,0.24553530
0.25183107,0.25183107,0.00000000,0.25183107
0.25812685,0.25812685,0.00000000,0.25812685
0.26442263,0.26442263,0.00000000,0.26442263
0.27071841,0.27071841,0.00000000,0.27071841
0.27701418,0.27701418,0.00000000,0.27701418
0.28330996,0.28330996,0.00000000,0.28330996
0.28960574,0.28960574,0.00000000,0.28960574
0.29590151,0.29590151,0.00000000,0.29590151
0.30219729,0.30219729,0.00000000,0.30219729
0.30849307,0.30849307,0.00000000,0.30849307
0.31478884,0.31478884,0.00000000,0.31478884
0.32108462,0.32108462,0.00000000,0.32108462
0.32738040,0.32738040,0.00000000,0.32738040
0.33367617,0.33367617,0.00000000,0.33367617
0.33997195,0.33997195,0.00000000,0.33997195
0.34626773,0.34626773,0.00000000,0.34626773
0.35256350,0.35256350,0.00000000,0.35256350
0.35885928,0.35885928,0.00000000,0.35885928
0.36515506,0.36515506,0.00000000,0.36515506
0.37145083,0.37145083,0.00000000,0.37145083
0.37774661,0.37774661,0.00000000,0.37774661
0.38404239,0.38404239,0.00000000,0.38404239
0.39033817,0.39033817,0.00000000,0.39033817
0.39663394,0.39663394,0.00000000,0.39663394
0.40292972,0.40292972,0.00000000,0.40292972
0.40922550,0.40922550,0.00000000,0.40922550
0.41552127,0.41552127,0.00000000,0.41552127
0.42181705,0.42181705,0.00000000,0.42181705
0.42811283,0.42811283,0.00000000,0.42811283
0.43440860,0.43440860,0.00000000,0.43440860
0.44070438,0.44070438,0.00000000,0.44070438
0.44700016,0.44700016,0.00000000,0.44700016
0.45329593,0.45329593,0.00000000,0.45329593
0.45959171,0.45959171,0.00000000,0.45959171
0.46588749,0.46588749,0.00000000,0.46588749
0.47218326,0.47218326,0.00000000,0.47218326
0.47847904,0.47847904,0.00000000,0.47847904
0.48477482,0.48477482,0.00000000,0.48477482
0.49107060,0.49107060,0.00000000,0.49107060
0.49736637,0.49736637,0.00000000,0.49736637
0.50366215,0.50366215,0.00000000,0.50366215
0.50995793,0.50995793,0.00000000,0.50995793
0.51625370,0.51625370,0.00000000,0.51625370
0.52254948,0.52254948,0.00000000,0.52254948
0.52884526,0.52884526,0.00000000,0.52884526
0.53514103,0.53514103,0.00000000,0.53514103
0.54143681,0.54143681,0.00000000,0.54143681
0.54773259,0.54773259,0.00000000,0.54773259
0.55402836,0.55402836,0.00000000,0.55402836
0.56032414,0.56032414,0.00000000,0.56032414
0.56661992,0.56661992,0.00000000,0.56661992
0.57291569,0.57291569,0.00000000,0.57291569
0.57921147,0.57921147,0.00000000,0.57921147
0.58550725,0.58550725,0.00000000,0.58550725
0.59180302,0.59180302,0.00000000,0.59180302
0.59809880,0.59809880,0.00000000,0.59809880
0.60439458,0.60439458,0.00000000,0.60439458
