mu,W_analytical
0.05000000,-1.05263158
0.05909091,-1.06280193
0.06818182,-1.07317073
0.07727273,-1.08374384
0.08636364,-1.09452736
0.09545455,-1.10552764
0.10454545,-1.11675127
0.11363636,-1.12820513
0.12272727,-1.13989637
0.13181818,-1.15183246
0.14090909,-1.16402116
0.15000000,-1.17647059
0.15909091,-1.18918919
0.16818182,-1.20218579
0.17727273,-1.21546961
0.18636364,-1.22905028
0.19545455,-1.24293785
0.20454545,-1.25714286
0.21363636,-1.27167630
0.22272727,-1.28654971
0.23181818,-1.30177515
0.24090909,-1.31736527
0.25000000,-1.33333333
0.25909091,-1.34969325
0.26818182,-1.36645963
0.27727273,-1.38364780
0.28636364,-1.40127389
0.29545455,-1.41935484
0.30454545,-1.43790850
0.31363636,-1.45695364
0.32272727,-1.47651007
0.33181818,-1.49659864
0.34090909,-1.51724138
0.35000000,-1.53846154
0.35909091,-1.56028369
0.36818182,-1.58273381
0.37727273,-1.60583942
0.38636364,-1.62962963
0.39545455,-1.65413534
0.40454545,-1.67938931
0.41363636,-1.70542636
0.42272727,-1.73228346
0.43181818,-1.76000000
0.44090909,-1.78861789
0.45000000,-1.81818182
0.45909091,-1.84873950
0.46818182,-1.88034188
0.47727273,-1.91304348
0.48636364,-1.94690265
0.49545455,-1.98198198
0.50454545,-2.01834862
0.51363636,-2.05607477
0.52272727,-2.09523810
0.53181818,-2.13592233
0.54090909,-2.17821782
0.55000000,-2.22222222
0.55909091,-2.26804124
0.56818182,-2.31578947
0.57727273,-2.36559140
0.58636364,-2.41758242
0.59545455,-2.47191011
0.60454545,-2.52873563
0.61363636,-2.58823529
0.62272727,-2.65060241
0.63181818,-2.71604938
0.64090909,-2.78481013
0.65000000,-2.85714286
0.65909091,-2.93333333
0.66818182,-3.01369863
0.67727273,-3.09859155
0.68636364,-3.18840580
0.69545455,-3.28358209
0.70454545,-3.38461538
0.71363636,-3.49206349
0.72272727,-3.60655738
0.73181818,-3.72881356
0.74090909,-3.85964912
0.75000000,-4.00000000
0.75909091,-4.15094340
0.76818182,-4.31372549
0.77727273,-4.48979592
0.78636364,-4.68085106
0.79545455,-4.88888889
0.80454545,-5.11627907
0.81363636,-5.36585366
0.82272727,-5.64102564
0.83181818,-5.94594595
0.84090909,-6.28571429
0.85000000,-6.66666667
0.85909091,-7.09677419
0.86818182,-7.58620690
0.87727273,-8.14814815
0.88636364,-8.80000000
0.89545455,-9.56521739
0.90454545,-10.47619048
0.91363636,-11.57894737
0.92272727,-12.94117647
0.93181818,-14.66666667
0.94090909,-16.92307692
0.95000000,-20.00000000
