k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0.00000000,0.00000000,0.00000000,0.40653747,0.40653747,0.40653747,0.51565869,0.51565869,0.51565869,0.54771895,0.54771895
0.15707963,0.01669284,0.01669284,0.40631962,0.40631962,0.40657291,0.51566568,0.51573524,0.51573524,0.54773744,0.54773744
0.31415927,0.03335349,0.03335349,0.40566527,0.40566527,0.40667850,0.51568649,0.51596337,0.51596337,0.54779501,0.54779501
0.47123890,0.04994943,0.04994943,0.40457203,0.40457203,0.40685203,0.51572062,0.51633854,0.51633854,0.54789778,0.54789778
0.62831853,0.06644749,0.06644749,0.40303614,0.40303614,0.40708986,0.51576725,0.51685320,0.51685320,0.54805511,0.54805511
0.78539816,0.08281351,0.08281351,0.40105281,0.40105281,0.40738695,0.51582526,0.51749687,0.51749687,0.54827856,0.54827856
0.94247780,0.09901190,0.09901190,0.39861670,0.39861670,0.40773690,0.51589326,0.51825618,0.51825618,0.54858052,0.54858052
1.09955743,0.11500519,0.11500519,0.39572251,0.39572251,0.40813205,0.51596960,0.51911496,0.51911496,0.54897275,0.54897275
1.25663706,0.13075339,0.13075339,0.39236589,0.39236589,0.40856356,0.51605242,0.52005434,0.52005434,0.54946480,0.54946480
1.41371669,0.14621316,0.14621316,0.38854459,0.38854459,0.40902159,0.51613969,0.52105294,0.52105294,0.55006255,0.55006255
1.57079633,0.16133661,0.16133661,0.38425999,0.38425999,0.40949540,0.51622925,0.52208711,0.52208711,0.54995121,0.55076663
1.72787596,0.17606940,0.17606940,0.37951954,0.37951954,0.40997358,0.51631889,0.52313144,0.52313144,0.54888956,0.55157096
1.88495559,0.19034783,0.19034783,0.37434027,0.37434027,0.41044433,0.51640634,0.52415931,0.52415931,0.54785950,0.55246134
2.04203522,0.20409370,0.20409370,0.36875458,0.36875458,0.41089567,0.51648941,0.52514373,0.52514373,0.54688535,0.55341422
2.19911486,0.21720558,0.21720558,0.36281987,0.36281987,0.41131581,0.51656597,0.52605831,0.52605831,0.54598994,0.55389371
2.35619449,0.22954288,0.22954288,0.35663544,0.35663544,0.41169349,0.51663407,0.52687823,0.52687823,0.54519410,0.55368985
2.51327412,0.24089672,0.24089672,0.35037260,0.35037260,0.41201833,0.51669193,0.52758114,0.52758114,0.54451630,0.55351801
2.67035376,0.25093775,0.25093775,0.34432803,0.34432803,0.41228119,0.51673804,0.52814798,0.52814798,0.54397227,0.55338135
2.82743339,0.25913456,0.25913456,0.33900635,0.33900635,0.41247456,0.51677118,0.52856350,0.52856350,0.54357463,0.55328228
2.98451302,0.26468701,0.26468701,0.33518781,0.33518781,0.41259282,0.51679044,0.52881664,0.52881664,0.54333263,0.55322252
3.14159265,0.26668029,0.26668029,0.33377489,0.33377489,0.41263251,0.51679528,0.52890074,0.52890074,0.54325193,0.55320308
3.29867229,0.26693149,0.26724013,0.33387229,0.33402757,0.41247719,0.51663105,0.52886105,0.52902075,0.54272250,0.55289867
3.45575192,0.26768112,0.26890874,0.33416269,0.33477967,0.41201276,0.51613482,0.52873862,0.52937889,0.54131013,0.55236630
3.61283155,0.26891740,0.27165401,0.33464065,0.33601357,0.41124382,0.51529820,0.52852303,0.52996956,0.53935375,0.55187710
3.76991118,0.27062095,0.27542419,0.33529714,0.33770044,0.41017795,0.51411411,0.52819569,0.53078349,0.53711556,0.55142871
3.92699082,0.27276522,0.28015035,0.33611959,0.33980097,0.40882561,0.51258530,0.52772795,0.53180785,0.53474267,0.55098908
4.08407045,0.27531694,0.28574916,0.33709198,0.34226644,0.40720011,0.51073200,0.52707828,0.53231053,0.53302662,0.55054378
4.24115008,0.27823662,0.29212558,0.33819493,0.34503981,0.40531763,0.50859527,0.52618865,0.52986070,0.53441936,0.54948945
4.39822972,0.28147890,0.29917514,0.33940582,0.34805703,0.40319746,0.50623473,0.52498113,0.52741851,0.53596328,0.54859387
4.55530935,0.28499283,0.30678543,0.34069896,0.35124833,0.40086250,0.50372200,0.52335705,0.52500493,0.53763120,0.54794911
4.71238898,0.28872171,0.31483637,0.34204582,0.35453954,0.39834010,0.50113326,0.52120418,0.52264076,0.53939201,0.54752325
