k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
0.00000000,0.00000005,0.00000005,0.84809706,0.84809706,0.85134347,0.86725130,0.86915344,0.86915344
0.31415927,0.03342013,0.03349919,0.84771076,0.84792467,0.85105935,0.86455425,0.86599000,0.86868614
0.62831853,0.06675883,0.06691626,0.84649708,0.84733277,0.85025158,0.85728388,0.85849551,0.86842592
0.94247780,0.09993272,0.10016712,0.84371994,0.84583709,0.84804547,0.84896900,0.85066749,0.86818569
1.25663706,0.13285444,0.13316362,0.83608407,0.83806931,0.84435313,0.84476359,0.84893150,0.86789636
1.57079633,0.16543043,0.16581136,0.82620631,0.82799179,0.84150006,0.84235172,0.84806809,0.86755986
1.88495559,0.19755844,0.19800713,0.81623328,0.81798918,0.83864474,0.83962159,0.84728822,0.86719146
2.19911486,0.22912466,0.22963600,0.80653899,0.80831526,0.83566110,0.83666182,0.84653007,0.86681236
2.51327412,0.26000037,0.26056795,0.79727199,0.79909407,0.83257818,0.83356117,0.84579541,0.86644790
2.82743339,0.29003795,0.29065389,0.78852207,0.79040895,0.82944177,0.83038829,0.84510830,0.86612649
3.14159265,0.31906627,0.31972094,0.78035403,0.78232352,0.82629543,0.82719667,0.84450343,0.86587853
3.45575192,0.34688528,0.34756718,0.77281921,0.77488989,0.82317824,0.82402980,0.84402121,0.86573515
3.76991118,0.37326028,0.37395589,0.76596053,0.76815235,0.82012654,0.82092574,0.84370502,0.86572674
4.08407045,0.39791597,0.39860992,0.75981503,0.76214905,0.81717743,0.81792199,0.84359923,0.86588156
4.39822972,0.42053192,0.42120750,0.75441532,0.75691241,0.81437350,0.81506099,0.84374749,0.86622429
4.71238898,0.44074119,0.44138166,0.74979056,0.75246866,0.81176833,0.81239631,0.84419090,0.86677487
5.02654825,0.45813596,0.45872668,0.74596704,0.74883674,0.80943140,0.80999835,0.84496590,0.86573217
5.34070751,0.47228458,0.47281601,0.74296847,0.74602716,0.80744989,0.80795685,0.84610059,0.86162499
5.65486678,0.48276432,0.48323531,0.74081560,0.74404152,0.80592354,0.80637612,0.84760403,0.85794946
5.96902604,0.48921024,0.48962999,0.73952492,0.74287414,0.80495002,0.80535980,0.84940210,0.85482520
6.28318531,0.49137199,0.49175911,0.73910665,0.74251616,0.80460278,0.80498661,0.85045435,0.85332045
6.39425738,0.49141491,0.49176266,0.73910658,0.74256106,0.80422465,0.80493631,0.85053696,0.85324055
6.50532945,0.49154532,0.49177922,0.73911925,0.74271194,0.80315059,0.80482311,0.85071472,0.85302160
6.61640153,0.49176140,0.49180742,0.73914534,0.74296816,0.80143075,0.80464402,0.85098595,0.85267120
6.72747360,0.49184494,0.49206013,0.73918594,0.74332861,0.79913600,0.80439411,0.85132717,0.85222264
6.83854567,0.49188856,0.49243722,0.73924252,0.74379179,0.79634586,0.80406656,0.85139116,0.85203660
6.94961775,0.49193410,0.49288712,0.73931693,0.74435578,0.79313893,0.80365285,0.85077830,0.85252951
7.06068982,0.49197647,0.49340292,0.73941126,0.74501828,0.78958742,0.80314298,0.85000837,0.85320120
7.17176189,0.49200959,0.49397633,0.73952786,0.74577663,0.78575502,0.80252592,0.84917013,0.85398484
7.28283397,0.49202644,0.49459762,0.73966922,0.74662783,0.78169695,0.80179018,0.84829577,0.85487159
7.39390604,0.49201901,0.49525550,0.73983789,0.74756859,0.77746109,0.80092453,0.84741260,0.85585804
7.50497812,0.49197830,0.49593707,0.74003635,0.74859531,0.77308957,0.79991897,0.84654634,0.85694172
7.61605019,0.49189432,0.49662769,0.74026683,0.74970420,0.76862032,0.79876578,0.84572087,0.85812026
7.72712226,0.49175609,0.49731094,0.74053092,0.75089124,0.76408876,0.79746048,0.84495728,0.85939112
7.83819434,0.49155164,0.49796845,0.74082869,0.75215225,0.75952969,0.79600277,0.84427301,0.86075148
7.94926641,0.49126801,0.49857987,0.74115608,0.75348294,0.75498077,0.79439712,0.84368122,0.86219816
8.06033848,0.49089132,0.49912278,0.74149401,0.75049411,0.75487892,0.79265293,0.84319055,0.86372760
8.17141056,0.49040680,0.49957267,0.74172945,0.74621570,0.75633577,0.79078439,0.84280522,0.86533585
8.28248263,0.48979883,0.49990294,0.74059266,0.74344848,0.75784906,0.78880992,0.84252554,0.86701852
8.39355470,0.48905106,0.50008502,0.73685223,0.74345758,0.75941437,0.78675144,0.84234856,0.86877077
8.50462678,0.48814652,0.50008852,0.73282582,0.74395955,0.76102735,0.78463348,0.84226889,0.87058731
8.69700925,0.48767987,0.49997361,0.73105122,0.74412791,0.76181755,0.78410076,0.84130401,0.87100338
8.88939173,0.48727218,0.49968685,0.72924388,0.74452711,0.76238685,0.78458085,0.83899042,0.87033917
9.08177420,0.48693788,0.49925906,0.72751530,0.74502394,0.76278488,0.78599905,0.83572950,0.86880868
9.27415667,0.48668501,0.49872927,0.72593329,0.74548070,0.76322633,0.78810954,0.83192046,0.86669213
9.46653915,0.48651453,0.49814314,0.72454128,0.74578774,0.76391717,0.79061288,0.82790115,0.86426629
9.65892162,0.48641972,0.49755129,0.72336888,0.74590544,0.76492261,0.79322697,0.82396068,0.86178663
9.85130410,0.48638611,0.49700731,0.72243728,0.74587158,0.76613587,0.79569583,0.82037158,0.85949445
10.04368657,0.48639280,0.49656453,0.72176182,0.74576516,0.76732360,0.79777460,0.81741910,0.85762253
10.23606905,0.48641622,0.49627078,0.72135310,0.74566300,0.76820339,0.79921323,0.81541704,0.85638360
10.42845152,0.48643671,0.49616072,0.72121756,0.74561512,0.76853828,0.79976797,0.81467468,0.85593620
10.62083400,0.48644577,0.49624795,0.72135756,0.74563660,0.76823521,0.79931216,0.81534669,0.85634128
10.81321647,0.48644964,0.49652118,0.72177148,0.74570634,0.76739132,0.79795119,0.81729672,0.85754098
11.00559895,0.48646656,0.49694722,0.72245358,0.74576909,0.76624711,0.79592883,0.82021392,0.85937831
11.19798142,0.48651973,0.49747865,0.72339383,0.74574533,0.76508611,0.79350362,0.82377628,0.86164020
11.39036389,0.48663045,0.49806174,0.72457734,0.74555841,0.76413769,0.79092758,0.82769327,0.86409228
11.58274637,0.48681388,0.49864224,0.72598309,0.74517839,0.76349904,0.78846178,0.83169013,0.86649134
11.77512884,0.48707749,0.49916873,0.72758119,0.74465389,0.76309475,0.78639179,0.83547747,0.86858015
11.96751132,0.48742099,0.49959485,0.72932718,0.74409978,0.76271486,0.78501795,0.83871871,0.87008087
12.15989379,0.48783690,0.49988092,0.73115053,0.74365599,0.76214906,0.78458273,0.84101748,0.87071312
12.35227627,0.48831126,0.49999551,0.73293345,0.74346012,0.76135576,0.78515476,0.84197631,0.87026424
12.68549249,0.48452564,0.49869625,0.72181392,0.74564666,0.76647939,0.77865058,0.84228263,0.87602756
13.01870871,0.47869745,0.49463153,0.71313952,0.74844415,0.77188612,0.77255922,0.84319679,0.88213723
13.35192493,0.47038247,0.48702668,0.70769989,0.75182073,0.76755748,0.77748619,0.84448440,0.88838040
13.68514115,0.45923519,0.47542973,0.70589921,0.75577584,0.76417502,0.78319824,0.84595343,0.89452343
14.01835737,0.44506320,0.45982410,0.70769352,0.76030204,0.76273610,0.78895963,0.84745600,0.89361453
14.35157359,0.42784802,0.44055336,0.71267653,0.76335794,0.76538272,0.79471795,0.84888278,0.89100879
14.68478981,0.40772524,0.41813772,0.72026794,0.76598011,0.77099317,0.80042883,0.85015791,0.88779951
15.01800603,0.38493752,0.39311469,0.72987545,0.77041895,0.77710174,0.80605263,0.85123498,0.88420673
15.35122225,0.35978224,0.36595782,0.74097742,0.77642439,0.78367076,0.81155131,0.85209355,0.88041826
15.68443847,0.33256975,0.33705584,0.75314421,0.78372378,0.79065665,0.81688584,0.85273576,0.87659069
16.01765469,0.30359732,0.30672055,0.76603005,0.79204772,0.79800886,0.82201404,0.85318300,0.87285561
16.35087091,0.27313655,0.27520275,0.77935581,0.80113943,0.80566682,0.82688860,0.85347350,0.86932758
16.68408713,0.24142973,0.24270766,0.79289043,0.81074980,0.81355266,0.83145526,0.85366287,0.86611425
17.01730335,0.20869108,0.20940725,0.80643140,0.82061480,0.82155525,0.83565155,0.85383303,0.86333268
17.35051957,0.17511019,0.17544942,0.81977581,0.82949415,0.83039155,0.83940923,0.85412947,0.86114530
17.68373579,0.14085621,0.14096470,0.83261490,0.83707667,0.83941517,0.84270431,0.85491480,0.85985429
18.01695201,0.10607107,0.10608197,0.84242932,0.84481821,0.84568124,0.84683455,0.85730251,0.86010287
18.35016823,0.07087767,0.07092787,0.84638561,0.84674954,0.84995180,0.85640159,0.86228314,0.86263579
18.68338445,0.03548756,0.03552533,0.84777865,0.84779445,0.85104752,0.86458715,0.86657027,0.86717699
19.01660067,0.00000005,0.00000005,0.84809706,0.84809706,0.85134347,0.86725130,0.86915344,0.86915344
19.28867058,0.02892122,0.02901261,0.84782798,0.84791117,0.85109202,0.86557844,0.86751532,0.86761558
19.56074048,0.05778068,0.05796302,0.84674729,0.84729745,0.85010442,0.86139997,0.86347239,0.86372829
19.83281039,0.08651559,0.08678799,0.84377025,0.84552847,0.84795716,0.85669723,0.85883795,0.85925629
20.10488029,0.11506108,0.11542218,0.83760097,0.83978730,0.84628276,0.85217715,0.85510292,0.85689107
20.37695020,0.14334901,0.14379693,0.82889902,0.83111161,0.84494675,0.84677343,0.85379781,0.85599596
20.64902010,0.17130656,0.17183881,0.81882785,0.82107249,0.84129451,0.84354626,0.85342427,0.85572765
20.92109001,0.19885449,0.19946795,0.80794881,0.81024053,0.83601002,0.84206638,0.85342490,0.85574722
21.19315991,0.22590495,0.22659575,0.79651833,0.79886439,0.83101110,0.84053918,0.85362371,0.85593128
21.46522982,0.25235850,0.25312193,0.78468179,0.78708527,0.82634516,0.83900282,0.85394729,0.85622543
