k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14
0.00000000,0.00000000,0.00000014,0.71990900,0.71990900,0.72541699,0.75115561,0.75115561,0.80988662,0.87967859,0.87967859,0.93541761,0.93541761,0.93843289,0.94365327
0.31415927,0.02904012,0.02984995,0.71937007,0.71946514,0.72491559,0.75050828,0.75067966,0.80913145,0.87952368,0.88007375,0.93538603,0.93540755,0.93841705,0.94371424
0.62831853,0.05804179,0.05966435,0.71778395,0.71812273,0.72348640,0.74857587,0.74924731,0.80689149,0.87906402,0.88124482,0.93503740,0.93519907,0.93853074,0.94372327
0.94247780,0.08696621,0.08940737,0.71523559,0.71586095,0.72132691,0.74538939,0.74685230,0.80324314,0.87831459,0.88315034,0.93390465,0.93443377,0.93910091,0.94272966
1.25663706,0.11577386,0.11904269,0.71184550,0.71269738,0.71867078,0.74100616,0.74350018,0.79831182,0.87729936,0.88572642,0.93178513,0.93300525,0.94021458,0.94032695
1.57079633,0.14442412,0.14853314,0.70774557,0.70874684,0.71568806,0.73551422,0.73921383,0.79226753,0.87604993,0.88889292,0.92875775,0.93099915,0.93723037,0.94178029
1.88495559,0.17287489,0.17784051,0.70305313,0.70420514,0.71247038,0.72903595,0.73402496,0.78531844,0.87460395,0.89255939,0.92503146,0.92849099,0.93383289,0.94372169
2.19911486,0.20108208,0.20692519,0.69784217,0.69928022,0.70908047,0.72173655,0.72795617,0.77770446,0.87300336,0.89662877,0.92086168,0.92553258,0.93021391,0.94598865
2.51327412,0.22899914,0.23574593,0.69210366,0.69415049,0.70558300,0.71384785,0.72100315,0.76969210,0.87129267,0.90099576,0.91647894,0.92217691,0.92636037,0.94853979
2.82743339,0.25657635,0.26425945,0.68568745,0.68895320,0.70204764,0.70571623,0.71312885,0.76156736,0.86951740,0.90552320,0.91205742,0.91851752,0.92226664,0.95133319
3.14159265,0.28376002,0.29242011,0.67825976,0.68377412,0.69784053,0.69853932,0.70428959,0.75361951,0.86772278,0.90771985,0.90975824,0.91498101,0.91796318,0.95432199
3.45575192,0.31049125,0.32017950,0.66942163,0.67859883,0.69075348,0.69425686,0.69537305,0.74611166,0.86595258,0.90355098,0.90927300,0.91352088,0.91598991,0.95745183
3.76991118,0.33670405,0.34748586,0.65901443,0.67305264,0.68403416,0.68472008,0.69199515,0.73924695,0.86424834,0.89960787,0.90522620,0.90904938,0.92040023,0.96065904
4.08407045,0.36232215,0.37428331,0.64718780,0.66526130,0.67499673,0.67967721,0.68900842,0.73315061,0.86264873,0.89592641,0.90094673,0.90469223,0.92491312,0.96386909
4.39822972,0.38725283,0.40051045,0.63417810,0.65324226,0.66935587,0.67546719,0.68631760,0.72787879,0.86118917,0.89252797,0.89678731,0.90061683,0.92921398,0.96699540
4.71238898,0.41137411,0.42609747,0.62018743,0.63868085,0.66553392,0.67197847,0.68396480,0.72344364,0.85990158,0.88943221,0.89293061,0.89699431,0.93315785,0.96993905
5.02654825,0.43450476,0.45095902,0.60541206,0.62261349,0.66261268,0.66915452,0.68198917,0.71983753,0.85881421,0.88668013,0.88953269,0.89396692,0.93661840,0.97259019
5.34070751,0.45632483,0.47497315,0.59015084,0.60538510,0.66039262,0.66697189,0.68042349,0.71704804,0.85795156,0.88435496,0.88673090,0.89161704,0.93947528,0.97483243
5.65486678,0.47613187,0.49790105,0.57507214,0.58729265,0.65882947,0.66542328,0.67929358,0.71506452,0.85733393,0.88257524,0.88463950,0.88996485,0.94161803,0.97655150
5.96902604,0.49200265,0.51891879,0.56206672,0.56917466,0.65791547,0.66450798,0.67861807,0.71387980,0.85697687,0.88145973,0.88334450,0.88899601,0.94295514,0.97764811
6.28318531,0.49877858,0.53153867,0.55627084,0.55752080,0.65765148,0.66422687,0.67840835,0.71348998,0.85689018,0.88109298,0.88289962,0.88869127,0.94342466,0.97805320
6.39425738,0.49886643,0.53153700,0.55629051,0.55758320,0.65770362,0.66401627,0.67833786,0.71345589,0.85698510,0.88117096,0.88300123,0.88878357,0.94341753,0.97802785
6.50532945,0.49912227,0.53152982,0.55635841,0.55778894,0.65782649,0.66330078,0.67807542,0.71333875,0.85728269,0.88139114,0.88335708,0.88909778,0.94332678,0.97788615
6.61640153,0.49954557,0.53151457,0.55647241,0.55813765,0.65801961,0.66209208,0.67761475,0.71315312,0.85777104,0.88173571,0.88396103,0.88965341,0.94315268,0.97762997
6.72747360,0.50013543,0.53148700,0.55662889,0.55862862,0.65828210,0.66040936,0.67694646,0.71292224,0.85843088,0.88217776,0.88480279,0.89047991,0.94289579,0.97726263
6.83854567,0.50089061,0.53144105,0.55682251,0.55926090,0.65827864,0.65861259,0.67606009,0.71267568,0.85923787,0.88268627,0.88586845,0.89161038,0.94255690,0.97678872
6.94961775,0.50180950,0.53136877,0.55704594,0.56003324,0.65573179,0.65900898,0.67494691,0.71244631,0.86016539,0.88323308,0.88714108,0.89307299,0.94213711,0.97621390
7.06068982,0.50289009,0.53126024,0.55728945,0.56094411,0.65280579,0.65946784,0.67360317,0.71226697,0.86118722,0.88379858,0.88860144,0.89488389,0.94163781,0.97554478
7.17176189,0.50412994,0.53110334,0.55754034,0.56199177,0.64954211,0.65998309,0.67203408,0.71216731,0.86227975,0.88437334,0.89022864,0.89704445,0.94106070,0.97478858
7.28283397,0.50552611,0.53088371,0.55778218,0.56317422,0.64598650,0.66054240,0.67025923,0.71217149,0.86342344,0.88495590,0.89200078,0.89954324,0.94040781,0.97395301
7.39390604,0.50707511,0.53058455,0.55799380,0.56448928,0.64218926,0.66111472,0.66832583,0.71229695,0.86460329,0.88554918,0.89389554,0.90235984,0.93968155,0.97304599
7.50497812,0.50877271,0.53018656,0.55814804,0.56593454,0.63820600,0.66159499,0.66636373,0.71255435,0.86580858,0.88615763,0.89589059,0.90546859,0.93888474,0.97207547
7.61605019,0.51061375,0.52966783,0.55821014,0.56750743,0.63409905,0.66152382,0.66486462,0.71294836,0.86703213,0.88678565,0.89796394,0.90884141,0.93802064,0.97104930
7.72712226,0.51259178,0.52900393,0.55813606,0.56920519,0.62993923,0.66008433,0.66468366,0.71347895,0.86826940,0.88743687,0.90009415,0.91244968,0.93709302,0.96997506
7.83819434,0.51469836,0.52816803,0.55787104,0.57102493,0.62580791,0.65783998,0.66529985,0.71414280,0.86951750,0.88811397,0.90226045,0.91626541,0.93610631,0.96885995
7.94926641,0.51692194,0.52713127,0.55734931,0.57296357,0.62179833,0.65538107,0.66616804,0.71493444,0.87077451,0.88881877,0.90444265,0.92026198,0.93506572,0.96771077
8.06033848,0.51924563,0.52586334,0.55649703,0.57501792,0.61801508,0.65288631,0.66715566,0.71584728,0.87203887,0.88955231,0.90662098,0.92441450,0.93397753,0.96653381
8.17141056,0.52164260,0.52433327,0.55524147,0.57718465,0.61456950,0.65043938,0.66822484,0.71687415,0.87330905,0.89031503,0.90877549,0.92869990,0.93284968,0.96533488
8.28248263,0.52251053,0.52406602,0.55353159,0.57946027,0.61156935,0.64809946,0.66936031,0.71800784,0.87458327,0.89110683,0.91088516,0.93169269,0.93309692,0.96411930
8.39355470,0.52036632,0.52642450,0.55137823,0.58184120,0.60910337,0.64591531,0.67055398,0.71924125,0.87585943,0.89192720,0.91292569,0.93052176,0.93758595,0.96289190
8.50462678,0.51787492,0.52851809,0.54893396,0.58432372,0.60722551,0.64392819,0.67180051,0.72056755,0.87713505,0.89277526,0.91486514,0.92936120,0.94214873,0.96165705
8.69700925,0.51713638,0.53198047,0.54540219,0.58377327,0.60667515,0.64401773,0.67179456,0.72160580,0.87812016,0.89323482,0.91593126,0.92866881,0.94450620,0.96105844
8.88939173,0.51623481,0.53454417,0.54277577,0.58334817,0.60665433,0.64450750,0.67111284,0.72204569,0.87943916,0.89405080,0.91714716,0.92776430,0.94697912,0.96055081
9.08177420,0.51530715,0.53476564,0.54239366,0.58301669,0.60715597,0.64533352,0.66986498,0.72194175,0.88103041,0.89516016,0.91850953,0.92669267,0.94903212,0.96064141
9.27415667,0.51443509,0.53288477,0.54396967,0.58276497,0.60814912,0.64637805,0.66820181,0.72138652,0.88280936,0.89647034,0.91999741,0.92553289,0.94983436,0.96214548
9.46653915,0.51367157,0.53058840,0.54581442,0.58258415,0.60956783,0.64746628,0.66632474,0.72050512,0.88467103,0.89786952,0.92144366,0.92452327,0.94914564,0.96530009
9.65892162,0.51304820,0.52846784,0.54737705,0.58246360,0.61129347,0.64837219,0.66449334,0.71944829,0.88649179,0.89923929,0.92182311,0.92476717,0.94749896,0.96958152
9.85130410,0.51257823,0.52670285,0.54855415,0.58239125,0.61313705,0.64886717,0.66299746,0.71838283,0.88813121,0.90046724,0.92093398,0.92653878,0.94536895,0.97453946
10.04368657,0.51225939,0.52538123,0.54935409,0.58235666,0.61483214,0.64886633,0.66203449,0.71747726,0.88943790,0.90145491,0.91995605,0.92869259,0.94306578,0.97991305
10.23606905,0.51207898,0.52456122,0.54981279,0.58235282,0.61605708,0.64857949,0.66156639,0.71688078,0.89026595,0.90211965,0.91924793,0.93075958,0.94094195,0.98544000
10.42845152,0.51202254,0.52428069,0.54996202,0.58237567,0.61651754,0.64838021,0.66140498,0.71669703,0.89050596,0.90239851,0.91896760,0.93200155,0.93974478,0.98997046
10.62083400,0.51208357,0.52455304,0.54981527,0.58242274,0.61608388,0.64845630,0.66145491,0.71696100,0.89011992,0.90226322,0.91917126,0.93146842,0.94043391,0.98782366
10.81321647,0.51226799,0.52536391,0.54936367,0.58249241,0.61487181,0.64863196,0.66182252,0.71763050,0.88915559,0.90173332,0.91979982,0.92973487,0.94243788,0.98244849
11.00559895,0.51258984,0.52667383,0.54858020,0.58258447,0.61317064,0.64853950,0.66270257,0.71859702,0.88772801,0.90086867,0.92069106,0.92776016,0.94480671,0.97699270
11.19798142,0.51306153,0.52842140,0.54743407,0.58270176,0.61130501,0.64797146,0.66413291,0.71970973,0.88598416,0.89975316,0.92154796,0.92605732,0.94711373,0.97185243
11.39036389,0.51368513,0.53051205,0.54592406,0.58285134,0.60954731,0.64701410,0.66591214,0.72080117,0.88407422,0.89848662,0.92169273,0.92530078,0.94909518,0.96723425
