t_over_tau_th, nr_over_ntot_with_avalanche, nr_over_ntot_without_avalanche
0.00000000e+00,1.00000000e-20,1.00000000e-20
2.00100050e-01,4.38842692e-07,4.38841341e-07
4.00200100e-01,8.77687693e-07,8.77682496e-07
6.00300150e-01,1.31653520e-06,1.31652345e-06
8.00400200e-01,1.75538501e-06,1.75536422e-06
1.00050025e+00,2.19423732e-06,2.19420479e-06
1.20060030e+00,2.63309195e-06,2.63304518e-06
1.40070035e+00,3.07194907e-06,3.07188536e-06
1.60080040e+00,3.51080850e-06,3.51072536e-06
1.80090045e+00,3.94967044e-06,3.94956516e-06
2.00100050e+00,4.38853469e-06,4.38840478e-06
2.20110055e+00,4.82740143e-06,4.82724419e-06
2.40120060e+00,5.26627049e-06,5.26608342e-06
2.60130065e+00,5.70514205e-06,5.70492245e-06
2.80140070e+00,6.14401592e-06,6.14376130e-06
3.00150075e+00,6.58289229e-06,6.58259994e-06
3.20160080e+00,7.02177097e-06,7.02143840e-06
3.40170085e+00,7.46065215e-06,7.46027666e-06
3.60180090e+00,7.89953564e-06,7.89911474e-06
3.80190095e+00,8.33842163e-06,8.33795261e-06
4.00200100e+00,8.77730994e-06,8.77679030e-06
4.20210105e+00,9.21620074e-06,9.21562779e-06
4.40220110e+00,9.65509386e-06,9.65446509e-06
4.60230115e+00,1.00939895e-05,1.00933022e-05
4.80240120e+00,1.05328874e-05,1.05321391e-05
5.00250125e+00,1.09717878e-05,1.09709758e-05
5.20260130e+00,1.14106906e-05,1.14098124e-05
5.40270135e+00,1.18495958e-05,1.18486487e-05
5.60280140e+00,1.22885034e-05,1.22874848e-05
5.80290145e+00,1.27274134e-05,1.27263208e-05
6.00300150e+00,1.31663258e-05,1.31651566e-05
6.20310155e+00,1.36052406e-05,1.36039921e-05
6.40320160e+00,1.40441578e-05,1.40428275e-05
6.60330165e+00,1.44830775e-05,1.44816627e-05
6.80340170e+00,1.49219995e-05,1.49204977e-05
7.00350175e+00,1.53609239e-05,1.53593325e-05
7.20360180e+00,1.57998507e-05,1.57981671e-05
7.40370185e+00,1.62387800e-05,1.62370015e-05
7.60380190e+00,1.66777116e-05,1.66758357e-05
7.80390195e+00,1.71166457e-05,1.71146697e-05
8.00400200e+00,1.75555822e-05,1.75535036e-05
8.20410205e+00,1.79945211e-05,1.79923372e-05
