t_over_tau_th,nr_frac_eps_0.0,nr_frac_eps_0.05,nr_frac_eps_0.1,nr_frac_eps_0.2,nr_frac_eps_0.3,nr_frac_eps_0.5
0.00000000e+00,1.00000000e-20,1.00000000e-20,1.00000000e-20,1.00000000e-20,1.00000000e-20,1.00000000e-20
3.00300300e-01,1.08655209e-05,6.84170321e-06,5.30582372e-06,3.33766268e-06,2.00751742e-06,2.19528003e-07
6.00600601e-01,2.17310536e-05,1.36833926e-05,1.06116357e-05,6.67531995e-06,4.01503292e-06,4.39056045e-07
9.00900901e-01,3.25965980e-05,2.05250681e-05,1.59174358e-05,1.00129718e-05,6.02254652e-06,6.58584127e-07
1.20120120e+00,4.34621542e-05,2.73667298e-05,2.12232242e-05,1.33506182e-05,8.03005821e-06,8.78112248e-07
1.50150150e+00,5.43277221e-05,3.42083777e-05,2.65290009e-05,1.66882593e-05,1.00375680e-05,1.09764041e-06
1.80180180e+00,6.51933018e-05,4.10500117e-05,3.18347657e-05,2.00258949e-05,1.20450759e-05,1.31716861e-06
2.10210210e+00,7.60588933e-05,4.78916318e-05,3.71405188e-05,2.33635251e-05,1.40525818e-05,1.53669685e-06
2.40240240e+00,8.69244965e-05,5.47332382e-05,4.24462601e-05,2.67011498e-05,1.60600859e-05,1.75622513e-06
2.70270270e+00,9.77901114e-05,6.15748306e-05,4.77519896e-05,3.00387692e-05,1.80675880e-05,1.97575345e-06
3.00300300e+00,1.08655738e-04,6.84164093e-05,5.30577074e-05,3.33763832e-05,2.00750883e-05,2.19528180e-06
3.30330330e+00,1.19521377e-04,7.52579741e-05,5.83634134e-05,3.67139917e-05,2.20825866e-05,2.41481020e-06
3.60360360e+00,1.30387027e-04,8.20995250e-05,6.36691076e-05,4.00515948e-05,2.40900830e-05,2.63433864e-06
3.90390390e+00,1.41252689e-04,8.89410621e-05,6.89747900e-05,4.33891925e-05,2.60975775e-05,2.85386711e-06
4.20420420e+00,1.52118362e-04,9.57825854e-05,7.42804606e-05,4.67267848e-05,2.81050701e-05,3.07339563e-06
4.50450450e+00,1.62984048e-04,1.02624095e-04,7.95861195e-05,5.00643717e-05,3.01125608e-05,3.29292419e-06
4.80480480e+00,1.73849745e-04,1.09465590e-04,8.48917666e-05,5.34019531e-05,3.21200496e-05,3.51245278e-06
5.10510511e+00,1.84715454e-04,1.16307072e-04,9.01974020e-05,5.67395292e-05,3.41275365e-05,3.73198141e-06
5.40540541e+00,1.95581174e-04,1.23148540e-04,9.55030255e-05,6.00770998e-05,3.61350215e-05,3.95151009e-06
5.70570571e+00,2.06446906e-04,1.29989994e-04,1.00808637e-04,6.34146650e-05,3.81425045e-05,4.17103880e-06
6.00600601e+00,2.17312650e-04,1.36831434e-04,1.06114237e-04,6.67522248e-05,4.01499857e-05,4.39056755e-06
6.30630631e+00,2.28178406e-04,1.43672861e-04,1.11419826e-04,7.00897792e-05,4.21574649e-05,4.61009635e-06
6.60660661e+00,2.39044174e-04,1.50514273e-04,1.16725402e-04,7.34273282e-05,4.41649422e-05,4.82962518e-06
6.90690691e+00,2.49909953e-04,1.57355672e-04,1.22030967e-04,7.67648717e-05,4.61724177e-05,5.04915405e-06
7.20720721e+00,2.60775744e-04,1.64197057e-04,1.27336520e-04,8.01024098e-05,4.81798912e-05,5.26868296e-06
7.50750751e+00,2.71641546e-04,1.71038427e-04,1.32642061e-04,8.34399426e-05,5.01873628e-05,5.48821191e-06
7.80780781e+00,2.82507360e-04,1.77879785e-04,1.37947590e-04,8.67774699e-05,5.21948325e-05,5.70774090e-06
8.10810811e+00,2.93373186e-04,1.84721128e-04,1.43253108e-04,9.01149918e-05,5.42023003e-05,5.92726993e-06
8.40840841e+00,3.04239024e-04,1.91562457e-04,1.48558613e-04,9.34525082e-05,5.62097661e-05,6.14679900e-06
8.70870871e+00,3.15104873e-04,1.98403773e-04,1.53864107e-04,9.67900193e-05,5.82172301e-05,6.36632810e-06
9.00900901e+00,3.25970734e-04,2.05245075e-04,1.59169590e-04,1.00127525e-04,6.02246922e-05,6.58585725e-06
9.30930931e+00,3.36836607e-04,2.12086362e-04,1.64475060e-04,1.03465025e-04,6.22321523e-05,6.80538644e-06
9.60960961e+00,3.47702491e-04,2.18927636e-04,1.69780519e-04,1.06802520e-04,6.42396106e-05,7.02491566e-06
9.90990991e+00,3.58568387e-04,2.25768896e-04,1.75085966e-04,1.10140009e-04,6.62470669e-05,7.24444493e-06
1.02102102e+01,3.69434295e-04,2.32610143e-04,1.80391401e-04,1.13477493e-04,6.82545213e-05,7.46397423e-06
1.05105105e+01,3.80300215e-04,2.39451375e-04,1.85696824e-04,1.16814972e-04,7.02619739e-05,7.68350358e-06
1.08108108e+01,3.91166146e-04,2.46292594e-04,1.91002236e-04,1.20152445e-04,7.22694245e-05,7.90303296e-06
1.11111111e+01,4.02032088e-04,2.53133799e-04,1.96307635e-04,1.23489913e-04,7.42768732e-05,8.12256239e-06
1.14114114e+01,4.12898043e-04,2.59974989e-04,2.01613023e-04,1.26827375e-04,7.62843200e-05,8.34209185e-06
1.17117117e+01,4.23764009e-04,2.66816166e-04,2.06918400e-04,1.30164832e-04,7.82917648e-05,8.56162135e-06
1.20120120e+01,4.34629987e-04,2.73657330e-04,2.12223764e-04,1.33502284e-04,8.02992078e-05,8.78115089e-06
1.23123123e+01,4.45495976e-04,2.80498479e-04,2.17529117e-04,1.36839730e-04,8.23066489e-05,9.00068047e-06
1.26126126e+01,4.56361977e-04,2.87339614e-04,2.22834458e-04,1.40177170e-04,8.43140880e-05,9.22021010e-06
1.29129129e+01,4.67227990e-04,2.94180736e-04,2.28139787e-04,1.43514605e-04,8.63215253e-05,9.43973976e-06
1.32132132e+01,4.78094014e-04,3.01021844e-04,2.33445104e-04,1.46852035e-04,8.83289606e-05,9.65926946e-06
1.35135135e+01,4.88960050e-04,3.07862938e-04,2.38750410e-04,1.50189460e-04,9.03363941e-05,9.87879919e-06
1.38138138e+01,4.99826098e-04,3.14704018e-04,2.44055703e-04,1.53526879e-04,9.23438256e-05,1.00983290e-05
1.41141141e+01,5.10692157e-04,3.21545084e-04,2.49360985e-04,1.56864292e-04,9.43512552e-05,1.03178588e-05
