epsilon, gamma_D_over_gamma_D_cyl
0.00000000e+00,1.00000000e+00
3.01507538e-03,9.06955308e-01
6.03015075e-03,8.68612264e-01
9.04522613e-03,8.39324137e-01
1.20603015e-02,8.14744064e-01
1.50753769e-02,7.93185404e-01
1.80904523e-02,7.73781680e-01
2.11055276e-02,7.56017298e-01
2.41206030e-02,7.39555751e-01
2.71356784e-02,7.24162900e-01
3.01507538e-02,7.09667978e-01
3.31658291e-02,6.95941845e-01
3.61809045e-02,6.82883995e-01
3.91959799e-02,6.70414362e-01
4.22110553e-02,6.58467914e-01
4.52261307e-02,6.46990957e-01
4.82412060e-02,6.35938538e-01
5.12562814e-02,6.25272566e-01
5.42713568e-02,6.14960416e-01
5.72864322e-02,6.04973890e-01
6.03015075e-02,5.95288412e-01
6.33165829e-02,5.85882403e-01
6.63316583e-02,5.76736792e-01
6.93467337e-02,5.67834618e-01
7.23618090e-02,5.59160722e-01
7.53768844e-02,5.50701481e-01
7.83919598e-02,5.42444601e-01
8.14070352e-02,5.34378937e-01
8.44221106e-02,5.26494351e-01
8.74371859e-02,5.18781583e-01
9.04522613e-02,5.11232152e-01
9.34673367e-02,5.03838262e-01
9.64824121e-02,4.96592728e-01
9.94974874e-02,4.89488911e-01
1.02512563e-01,4.82520660e-01
1.05527638e-01,4.75682261e-01
1.08542714e-01,4.68968400e-01
1.11557789e-01,4.62374116e-01
1.14572864e-01,4.55894775e-01
1.17587940e-01,4.49526038e-01
1.20603015e-01,4.43263835e-01
1.23618090e-01,4.37104343e-01
1.26633166e-01,4.31043963e-01
1.29648241e-01,4.25079303e-01
1.32663317e-01,4.19207163e-01
1.35678392e-01,4.13424518e-01
1.38693467e-01,4.07728504e-01
1.41708543e-01,4.02116409e-01
1.44723618e-01,3.96585659e-01
1.47738693e-01,3.91133809e-01
1.50753769e-01,3.85758536e-01
1.53768844e-01,3.80457626e-01
1.56783920e-01,3.75228973e-01
1.59798995e-01,3.70070566e-01
1.62814070e-01,3.64980485e-01
1.65829146e-01,3.59956898e-01
1.68844221e-01,3.54998050e-01
1.71859296e-01,3.50102264e-01
1.74874372e-01,3.45267932e-01
1.77889447e-01,3.40493514e-01
1.80904523e-01,3.35777530e-01
1.83919598e-01,3.31118563e-01
1.86934673e-01,3.26515249e-01
1.89949749e-01,3.21966277e-01
1.92964824e-01,3.17470387e-01
1.95979899e-01,3.13026367e-01
1.98994975e-01,3.08633046e-01
2.02010050e-01,3.04289300e-01
2.05025126e-01,2.99994043e-01
2.08040201e-01,2.95746226e-01
2.11055276e-01,2.91544840e-01
2.14070352e-01,2.87388907e-01
2.17085427e-01,2.83277484e-01
2.20100503e-01,2.79209659e-01
2.23115578e-01,2.75184550e-01
2.26130653e-01,2.71201303e-01
2.29145729e-01,2.67259091e-01
2.32160804e-01,2.63357115e-01
2.35175879e-01,2.59494598e-01
2.38190955e-01,2.55670789e-01
2.41206030e-01,2.51884960e-01
2.44221106e-01,2.48136403e-01
2.47236181e-01,2.44424431e-01
2.50251256e-01,2.40748380e-01
2.53266332e-01,2.37107602e-01
2.56281407e-01,2.33501468e-01
2.59296482e-01,2.29929368e-01
2.62311558e-01,2.26390707e-01
2.65326633e-01,2.22884910e-01
2.68341709e-01,2.19411413e-01
2.71356784e-01,2.15969671e-01
2.74371859e-01,2.12559150e-01
2.77386935e-01,2.09179335e-01
2.80402010e-01,2.05829718e-01
2.83417085e-01,2.02509810e-01
2.86432161e-01,1.99219131e-01
2.89447236e-01,1.95957214e-01
2.92462312e-01,1.92723604e-01
2.95477387e-01,1.89517857e-01
2.98492462e-01,1.86339540e-01
3.01507538e-01,1.83188230e-01
3.04522613e-01,1.80063515e-01
3.07537688e-01,1.76964991e-01
3.10552764e-01,1.73892266e-01
3.13567839e-01,1.70844956e-01
3.16582915e-01,1.67822685e-01
3.19597990e-01,1.64825086e-01
3.22613065e-01,1.61851802e-01
3.25628141e-01,1.58902482e-01
3.28643216e-01,1.55976784e-01
3.31658291e-01,1.53074372e-01
3.34673367e-01,1.50194920e-01
3.37688442e-01,1.47338105e-01
3.40703518e-01,1.44503616e-01
3.43718593e-01,1.41691145e-01
3.46733668e-01,1.38900391e-01
3.49748744e-01,1.36131060e-01
3.52763819e-01,1.33382864e-01
3.55778894e-01,1.30655522e-01
3.58793970e-01,1.27948756e-01
3.61809045e-01,1.25262296e-01
3.64824121e-01,1.22595876e-01
3.67839196e-01,1.19949237e-01
3.70854271e-01,1.17322123e-01
3.73869347e-01,1.14714285e-01
3.76884422e-01,1.12125477e-01
3.79899497e-01,1.09555460e-01
3.82914573e-01,1.07003998e-01
3.85929648e-01,1.04470858e-01
3.88944724e-01,1.01955815e-01
3.91959799e-01,9.94586466e-02
3.94974874e-01,9.69791332e-02
