# V_3Q - V_3Q^Coul vs L_min at beta=5.8
# A_QQ/2 = 0.130350 used for Coulomb subtraction
L_min,V_3Q_minus_Coul,error
1.93186044,1.12257137,0.00120000
2.44948974,1.19051411,0.00320000
2.90931360,1.21771929,0.00280000
3.34606522,1.27345995,0.00420000
3.86370772,1.31343568,0.00160000
3.89823043,1.32622029,0.00600000
4.18154055,1.34917427,0.00330000
4.30695187,1.36601195,0.00860000
4.83656000,1.41067759,0.00210000
4.89164628,1.42825202,0.01190000
4.89897949,1.41535705,0.00730000
5.11119904,1.44826717,0.01240000
5.76611453,1.49669086,0.00800000
5.79555790,1.51012379,0.00910000
6.01944249,1.53066437,0.00330000
6.58971056,1.57692896,0.01200000
6.76643257,1.60260750,0.00410000
7.34846923,1.64877137,0.00720000
7.48702201,1.67446973,0.00220000
7.72740882,1.69591784,0.00720000
7.74472517,1.70487484,0.00250000
8.20192718,1.73026379,0.00660000
8.69718702,1.79531475,0.00320000
8.72793896,1.80170643,0.00320000
9.10562486,1.83953347,0.00370000
9.65926003,1.88987427,0.00440000
9.67311880,1.89858879,0.00400000
9.79795897,1.90682853,0.00490000
10.03819565,1.93808665,0.00440000
10.62833608,1.99268461,0.00470000
10.64354213,2.00085734,0.00550000
10.98860403,2.03455538,0.00520000
11.46226348,2.08694877,0.00680000
11.53222907,2.09589543,0.00610000
11.59111139,2.09101189,0.00620000
11.95070729,2.13653642,0.00650000
12.24744871,2.17450282,0.00870000
12.32963898,2.18522315,0.00690000
13.08791850,2.27651349,0.00900000
13.52296283,2.29651020,0.01010000
14.69693846,2.46268568,0.02230000
15.45481433,2.46320892,0.01770000
