# V_3Q lattice data and Y-ansatz fit at beta=5.7
i,j,k,V_3Q_latt,error,V_3Q_fit
0,1,1,0.84570000,0.00380000,0.85229962
1,1,1,1.02380000,0.00400000,1.00915450
0,1,2,1.09730000,0.00430000,1.10240526
1,1,2,1.21850000,0.00620000,1.21497617
0,1,3,1.29290000,0.00410000,1.29273374
1,1,3,1.41610000,0.00490000,1.39628372
0,2,2,1.31580000,0.00440000,1.32687110
1,2,2,1.38660000,0.00480000,1.38936056
2,2,2,1.52340000,0.00370000,1.52363060
0,2,3,1.50400000,0.00630000,1.50745978
1,2,3,1.55940000,0.00630000,1.55861739
2,2,3,1.67500000,0.01180000,1.67606730
0,3,3,1.67560000,0.00430000,1.68133772
1,3,3,1.71450000,0.00430000,1.72001123
2,3,3,1.82390000,0.00560000,1.81726932
3,3,3,1.96070000,0.00930000,1.94399080
