# Lattice Coulomb potential V^LC(n) and continuum 1/r
# V^LC(0,0,0) = 3.14860016
n1,n2,n3,r,V_LC,V_continuum
1,0,0,1.00000000,1.05420506,1.00000000
2,0,0,2.00000000,0.51165161,0.50000000
3,0,0,3.00000000,0.31883070,0.33333333
4,0,0,4.00000000,0.22764525,0.25000000
5,0,0,5.00000000,0.17501870,0.20000000
6,0,0,6.00000000,0.14063016,0.16666667
7,0,0,7.00000000,0.11631872,0.14285714
8,0,0,8.00000000,0.09818861,0.12500000
1,1,0,1.41421356,0.66624465,0.70710678
1,1,1,1.73205081,0.52031041,0.57735027
2,1,0,2.23606798,0.42421847,0.44721360
2,1,1,2.44948974,0.37437617,0.40824829
2,2,0,2.82842712,0.32524040,0.35355339
2,2,1,3.00000000,0.30140915,0.33333333
2,2,2,3.46410162,0.25733445,0.28867513
3,1,0,3.16227766,0.29342184,0.31622777
3,1,1,3.31662479,0.27469137,0.30151134
3,2,0,3.60555128,0.25009359,0.27735010
3,2,1,3.74165739,0.23856386,0.26726124
3,3,0,4.24264069,0.20786597,0.23570226
3,3,1,4.35889894,0.20102328,0.22941573
3,3,3,5.19615242,0.16394181,0.19245009
4,0,0,4.00000000,0.22764525,0.25000000
4,1,0,4.12310563,0.21800552,0.24253563
4,2,0,4.47213595,0.19690559,0.22360680
4,4,0,5.65685425,0.14918782,0.17677670
5,0,0,5.00000000,0.17501870,0.20000000
5,1,0,5.09901951,0.17045920,0.19611614
6,0,0,6.00000000,0.14063016,0.16666667
