# Q-Qbar potential fit at various beta
beta,r_lattice,V_QQ
5.7,0.50000000,0.14315000
5.7,0.53768844,0.18844365
5.7,0.57537688,0.22860793
5.7,0.61306533,0.26458883
5.7,0.65075377,0.29711319
5.7,0.68844221,0.32674870
5.7,0.72613065,0.35394516
5.7,0.76381910,0.37906363
5.7,0.80150754,0.40239724
5.7,0.83919598,0.42418646
5.7,0.87688442,0.44463043
5.7,0.91457286,0.46389546
5.7,0.95226131,0.48212152
5.7,0.98994975,0.49942728
5.7,1.02763819,0.51591400
5.7,1.06532663,0.53166860
5.7,1.10301508,0.54676612
5.7,1.14070352,0.56127170
5.7,1.17839196,0.57524214
5.7,1.21608040,0.58872718
5.7,1.25376884,0.60177061
5.7,1.29145729,0.61441108
5.7,1.32914573,0.62668287
5.7,1.36683417,0.63861648
5.7,1.40452261,0.65023913
5.7,1.44221106,0.66157521
5.7,1.47989950,0.67264660
5.7,1.51758794,0.68347302
5.7,1.55527638,0.69407229
5.7,1.59296482,0.70446053
5.7,1.63065327,0.71465237
5.7,1.66834171,0.72466112
5.7,1.70603015,0.73449891
5.7,1.74371859,0.74417683
5.7,1.78140704,0.75370503
5.7,1.81909548,0.76309281
5.7,1.85678392,0.77234872
5.7,1.89447236,0.78148064
5.7,1.93216080,0.79049581
5.7,1.96984925,0.79940094
5.7,2.00753769,0.80820223
5.7,2.04522613,0.81690542
5.7,2.08291457,0.82551583
5.7,2.12060302,0.83403841
5.7,2.15829146,0.84247776
5.7,2.19597990,0.85083817
5.7,2.23366834,0.85912363
5.7,2.27135678,0.86733787
5.7,2.30904523,0.87548438
5.7,2.34673367,0.88356643
5.7,2.38442211,0.89158706
5.7,2.42211055,0.89954915
5.7,2.45979899,0.90745539
5.7,2.49748744,0.91530831
5.7,2.53517588,0.92311028
5.7,2.57286432,0.93086354
5.7,2.61055276,0.93857021
5.7,2.64824121,0.94623227
5.7,2.68592965,0.95385160
5.7,2.72361809,0.96142997
5.7,2.76130653,0.96896906
5.7,2.79899497,0.97647046
5.7,2.83668342,0.98393568
5.7,2.87437186,0.99136612
5.7,2.91206030,0.99876315
5.7,2.94974874,1.00612804
5.7,2.98743719,1.01346201
5.7,3.02512563,1.02076622
5.7,3.06281407,1.02804176
5.7,3.10050251,1.03528969
5.7,3.13819095,1.04251099
5.7,3.17587940,1.04970661
5.7,3.21356784,1.05687746
5.7,3.25125628,1.06402439
5.7,3.28894472,1.07114824
5.7,3.32663317,1.07824978
5.7,3.36432161,1.08532977
5.7,3.40201005,1.09238891
5.7,3.43969849,1.09942791
5.7,3.47738693,1.10644740
5.7,3.51507538,1.11344802
5.7,3.55276382,1.12043037
5.7,3.59045226,1.12739503
5.7,3.62814070,1.13434254
5.7,3.66582915,1.14127344
5.7,3.70351759,1.14818823
5.7,3.74120603,1.15508739
5.7,3.77889447,1.16197140
5.7,3.81658291,1.16884071
5.7,3.85427136,1.17569575
5.7,3.89195980,1.18253692
5.7,3.92964824,1.18936463
5.7,3.96733668,1.19617927
5.7,4.00502513,1.20298120
5.7,4.04271357,1.20977078
5.7,4.08040201,1.21654835
5.7,4.11809045,1.22331424
5.7,4.15577889,1.23006876
5.7,4.19346734,1.23681223
5.7,4.23115578,1.24354494
5.7,4.26884422,1.25026718
5.7,4.30653266,1.25697921
5.7,4.34422111,1.26368131
5.7,4.38190955,1.27037373
5.7,4.41959799,1.27705672
5.7,4.45728643,1.28373052
5.7,4.49497487,1.29039535
5.7,4.53266332,1.29705145
5.7,4.57035176,1.30369903
5.7,4.60804020,1.31033830
5.7,4.64572864,1.31696946
5.7,4.68341709,1.32359270
5.7,4.72110553,1.33020822
5.7,4.75879397,1.33681620
5.7,4.79648241,1.34341681
5.7,4.83417085,1.35001024
5.7,4.87185930,1.35659664
5.7,4.90954774,1.36317618
5.7,4.94723618,1.36974901
5.7,4.98492462,1.37631529
5.7,5.02261307,1.38287516
5.7,5.06030151,1.38942878
5.7,5.09798995,1.39597626
5.7,5.13567839,1.40251776
5.7,5.17336683,1.40905340
5.7,5.21105528,1.41558332
5.7,5.24874372,1.42210762
5.7,5.28643216,1.42862643
5.7,5.32412060,1.43513988
5.7,5.36180905,1.44164807
5.7,5.39949749,1.44815110
5.7,5.43718593,1.45464910
5.7,5.47487437,1.46114217
5.7,5.51256281,1.46763039
5.7,5.55025126,1.47411388
5.7,5.58793970,1.48059273
5.7,5.62562814,1.48706703
5.7,5.66331658,1.49353688
5.7,5.70100503,1.50000236
5.7,5.73869347,1.50646355
5.7,5.77638191,1.51292055
5.7,5.81407035,1.51937343
5.7,5.85175879,1.52582227
5.7,5.88944724,1.53226715
5.7,5.92713568,1.53870815
5.7,5.96482412,1.54514533
5.7,6.00251256,1.55157878
5.7,6.04020101,1.55800856
5.7,6.07788945,1.56443474
5.7,6.11557789,1.57085738
5.7,6.15326633,1.57727656
5.7,6.19095477,1.58369233
5.7,6.22864322,1.59010475
5.7,6.26633166,1.59651390
5.7,6.30402010,1.60291981
5.7,6.34170854,1.60932256
5.7,6.37939698,1.61572220
5.7,6.41708543,1.62211878
5.7,6.45477387,1.62851236
5.7,6.49246231,1.63490299
5.7,6.53015075,1.64129072
5.7,6.56783920,1.64767560
5.7,6.60552764,1.65405768
5.7,6.64321608,1.66043701
5.7,6.68090452,1.66681363
5.7,6.71859296,1.67318759
5.7,6.75628141,1.67955893
5.7,6.79396985,1.68592770
5.7,6.83165829,1.69229394
5.7,6.86934673,1.69865769
5.7,6.90703518,1.70501900
5.7,6.94472362,1.71137789
5.7,6.98241206,1.71773442
5.7,7.02010050,1.72408862
5.7,7.05778894,1.73044052
5.7,7.09547739,1.73679016
5.7,7.13316583,1.74313759
5.7,7.17085427,1.74948283
5.7,7.20854271,1.75582591
5.7,7.24623116,1.76216688
5.7,7.28391960,1.76850576
5.7,7.32160804,1.77484259
5.7,7.35929648,1.78117740
5.7,7.39698492,1.78751022
5.7,7.43467337,1.79384107
5.7,7.47236181,1.80017000
5.7,7.51005025,1.80649702
5.7,7.54773869,1.81282217
5.7,7.58542714,1.81914548
5.7,7.62311558,1.82546696
5.7,7.66080402,1.83178666
5.7,7.69849246,1.83810459
5.7,7.73618090,1.84442078
5.7,7.77386935,1.85073526
5.7,7.81155779,1.85704805
5.7,7.84924623,1.86335918
5.7,7.88693467,1.86966866
5.7,7.92462312,1.87597653
5.7,7.96231156,1.88228280
5.7,8.00000000,1.88858750
5.8,0.50000000,0.14405000
5.8,0.53768844,0.18466331
5.8,0.57537688,0.22048884
5.8,0.61306533,0.25240958
5.8,0.65075377,0.28110398
5.8,0.68844221,0.30710189
5.8,0.72613065,0.33082320
5.8,0.76381910,0.35260490
5.8,0.80150754,0.37272059
5.8,0.83919598,0.39139476
5.8,0.87688442,0.40881325
5.8,0.91457286,0.42513131
5.8,0.95226131,0.44047960
5.8,0.98994975,0.45496888
5.8,1.02763819,0.46869365
5.8,1.06532663,0.48173506
5.8,1.10301508,0.49416316
5.8,1.14070352,0.50603874
5.8,1.17839196,0.51741480
5.8,1.21608040,0.52833780
5.8,1.25376884,0.53884859
5.8,1.29145729,0.54898326
5.8,1.32914573,0.55877380
5.8,1.36683417,0.56824869
5.8,1.40452261,0.57743332
5.8,1.44221106,0.58635046
5.8,1.47989950,0.59502054
5.8,1.51758794,0.60346198
5.8,1.55527638,0.61169138
5.8,1.59296482,0.61972381
5.8,1.63065327,0.62757291
5.8,1.66834171,0.63525112
5.8,1.70603015,0.64276975
5.8,1.74371859,0.65013917
5.8,1.78140704,0.65736883
5.8,1.81909548,0.66446742
5.8,1.85678392,0.67144293
5.8,1.89447236,0.67830269
5.8,1.93216080,0.68505349
5.8,1.96984925,0.69170158
5.8,2.00753769,0.69825274
5.8,2.04522613,0.70471233
5.8,2.08291457,0.71108532
5.8,2.12060302,0.71737634
5.8,2.15829146,0.72358966
5.8,2.19597990,0.72972930
5.8,2.23366834,0.73579898
5.8,2.27135678,0.74180218
5.8,2.30904523,0.74774217
5.8,2.34673367,0.75362198
5.8,2.38442211,0.75944448
5.8,2.42211055,0.76521233
5.8,2.45979899,0.77092804
5.8,2.49748744,0.77659399
5.8,2.53517588,0.78221238
5.8,2.57286432,0.78778530
5.8,2.61055276,0.79331474
5.8,2.64824121,0.79880253
5.8,2.68592965,0.80425044
5.8,2.72361809,0.80966013
5.8,2.76130653,0.81503315
5.8,2.79899497,0.82037098
5.8,2.83668342,0.82567504
5.8,2.87437186,0.83094665
5.8,2.91206030,0.83618706
5.8,2.94974874,0.84139748
5.8,2.98743719,0.84657904
5.8,3.02512563,0.85173282
5.8,3.06281407,0.85685984
5.8,3.10050251,0.86196108
5.8,3.13819095,0.86703747
5.8,3.17587940,0.87208989
5.8,3.21356784,0.87711918
5.8,3.25125628,0.88212616
5.8,3.28894472,0.88711159
5.8,3.32663317,0.89207620
5.8,3.36432161,0.89702068
5.8,3.40201005,0.90194572
5.8,3.43969849,0.90685194
5.8,3.47738693,0.91173996
5.8,3.51507538,0.91661037
5.8,3.55276382,0.92146373
5.8,3.59045226,0.92630056
5.8,3.62814070,0.93112140
5.8,3.66582915,0.93592672
5.8,3.70351759,0.94071701
5.8,3.74120603,0.94549272
5.8,3.77889447,0.95025428
5.8,3.81658291,0.95500212
5.8,3.85427136,0.95973664
5.8,3.89195980,0.96445821
5.8,3.92964824,0.96916723
5.8,3.96733668,0.97386404
5.8,4.00502513,0.97854899
5.8,4.04271357,0.98322240
5.8,4.08040201,0.98788461
5.8,4.11809045,0.99253592
5.8,4.15577889,0.99717662
5.8,4.19346734,1.00180700
5.8,4.23115578,1.00642734
5.8,4.26884422,1.01103790
5.8,4.30653266,1.01563894
5.8,4.34422111,1.02023070
5.8,4.38190955,1.02481343
5.8,4.41959799,1.02938736
5.8,4.45728643,1.03395271
5.8,4.49497487,1.03850969
5.8,4.53266332,1.04305852
5.8,4.57035176,1.04759939
5.8,4.60804020,1.05213251
5.8,4.64572864,1.05665806
5.8,4.68341709,1.06117622
5.8,4.72110553,1.06568717
5.8,4.75879397,1.07019108
5.8,4.79648241,1.07468812
5.8,4.83417085,1.07917845
5.8,4.87185930,1.08366222
5.8,4.90954774,1.08813959
5.8,4.94723618,1.09261069
5.8,4.98492462,1.09707569
5.8,5.02261307,1.10153470
5.8,5.06030151,1.10598786
5.8,5.09798995,1.11043531
5.8,5.13567839,1.11487717
5.8,5.17336683,1.11931357
5.8,5.21105528,1.12374461
5.8,5.24874372,1.12817042
5.8,5.28643216,1.13259111
5.8,5.32412060,1.13700678
5.8,5.36180905,1.14141755
5.8,5.39949749,1.14582351
5.8,5.43718593,1.15022476
5.8,5.47487437,1.15462141
5.8,5.51256281,1.15901355
5.8,5.55025126,1.16340126
5.8,5.58793970,1.16778465
5.8,5.62562814,1.17216378
5.8,5.66331658,1.17653876
5.8,5.70100503,1.18090966
5.8,5.73869347,1.18527657
5.8,5.77638191,1.18963955
5.8,5.81407035,1.19399869
5.8,5.85175879,1.19835407
5.8,5.88944724,1.20270574
5.8,5.92713568,1.20705379
5.8,5.96482412,1.21139829
5.8,6.00251256,1.21573929
5.8,6.04020101,1.22007687
5.8,6.07788945,1.22441109
5.8,6.11557789,1.22874201
5.8,6.15326633,1.23306970
5.8,6.19095477,1.23739420
5.8,6.22864322,1.24171558
5.8,6.26633166,1.24603390
5.8,6.30402010,1.25034921
5.8,6.34170854,1.25466156
5.8,6.37939698,1.25897100
5.8,6.41708543,1.26327760
5.8,6.45477387,1.26758139
5.8,6.49246231,1.27188243
5.8,6.53015075,1.27618076
5.8,6.56783920,1.28047643
5.8,6.60552764,1.28476949
5.8,6.64321608,1.28905997
5.8,6.68090452,1.29334794
5.8,6.71859296,1.29763341
5.8,6.75628141,1.30191645
5.8,6.79396985,1.30619708
5.8,6.83165829,1.31047536
5.8,6.86934673,1.31475131
5.8,6.90703518,1.31902497
5.8,6.94472362,1.32329639
5.8,6.98241206,1.32756559
5.8,7.02010050,1.33183262
5.8,7.05778894,1.33609751
5.8,7.09547739,1.34036030
5.8,7.13316583,1.34462101
5.8,7.17085427,1.34887967
5.8,7.20854271,1.35313634
5.8,7.24623116,1.35739102
5.8,7.28391960,1.36164376
5.8,7.32160804,1.36589458
5.8,7.35929648,1.37014351
5.8,7.39698492,1.37439058
5.8,7.43467337,1.37863583
5.8,7.47236181,1.38287927
5.8,7.51005025,1.38712094
5.8,7.54773869,1.39136086
5.8,7.58542714,1.39559906
5.8,7.62311558,1.39983556
5.8,7.66080402,1.40407038
5.8,7.69849246,1.40830356
5.8,7.73618090,1.41253512
5.8,7.77386935,1.41676508
5.8,7.81155779,1.42099346
5.8,7.84924623,1.42522029
5.8,7.88693467,1.42944558
5.8,7.92462312,1.43366937
5.8,7.96231156,1.43789167
5.8,8.00000000,1.44211250
6.0,0.50000000,0.10910000
6.0,0.53768844,0.14981077
6.0,0.57537688,0.18543809
6.0,0.61306533,0.21691947
6.0,0.65075377,0.24497524
6.0,0.68844221,0.27016802
6.0,0.72613065,0.29294360
6.0,0.76381910,0.31365977
6.0,0.80150754,0.33260707
6.0,0.83919598,0.35002380
6.0,0.87688442,0.36610731
6.0,0.91457286,0.38102244
6.0,0.95226131,0.39490790
6.0,0.98994975,0.40788131
6.0,1.02763819,0.42004299
6.0,1.06532663,0.43147911
6.0,1.10301508,0.44226404
6.0,1.14070352,0.45246233
6.0,1.17839196,0.46213026
6.0,1.21608040,0.47131714
6.0,1.25376884,0.48006635
6.0,1.29145729,0.48841622
6.0,1.32914573,0.49640071
6.0,1.36683417,0.50405004
6.0,1.40452261,0.51139121
6.0,1.44221106,0.51844835
6.0,1.47989950,0.52524319
6.0,1.51758794,0.53179525
6.0,1.55527638,0.53812219
6.0,1.59296482,0.54423998
6.0,1.63065327,0.55016314
6.0,1.66834171,0.55590484
6.0,1.70603015,0.56147711
6.0,1.74371859,0.56689095
6.0,1.78140704,0.57215640
6.0,1.81909548,0.57728270
6.0,1.85678392,0.58227830
6.0,1.89447236,0.58715102
6.0,1.93216080,0.59190804
6.0,1.96984925,0.59655600
6.0,2.00753769,0.60110106
6.0,2.04522613,0.60554888
6.0,2.08291457,0.60990477
6.0,2.12060302,0.61417360
6.0,2.15829146,0.61835996
6.0,2.19597990,0.62246807
6.0,2.23366834,0.62650191
6.0,2.27135678,0.63046517
6.0,2.30904523,0.63436130
6.0,2.34673367,0.63819355
6.0,2.38442211,0.64196493
6.0,2.42211055,0.64567830
6.0,2.45979899,0.64933631
6.0,2.49748744,0.65294148
6.0,2.53517588,0.65649615
6.0,2.57286432,0.66000256
6.0,2.61055276,0.66346279
6.0,2.64824121,0.66687880
6.0,2.68592965,0.67025247
6.0,2.72361809,0.67358556
6.0,2.76130653,0.67687971
6.0,2.79899497,0.68013651
6.0,2.83668342,0.68335744
6.0,2.87437186,0.68654392
6.0,2.91206030,0.68969727
6.0,2.94974874,0.69281879
6.0,2.98743719,0.69590965
6.0,3.02512563,0.69897102
6.0,3.06281407,0.70200399
6.0,3.10050251,0.70500958
6.0,3.13819095,0.70798878
6.0,3.17587940,0.71094254
6.0,3.21356784,0.71387174
6.0,3.25125628,0.71677725
6.0,3.28894472,0.71965987
6.0,3.32663317,0.72252039
6.0,3.36432161,0.72535954
6.0,3.40201005,0.72817805
6.0,3.43969849,0.73097657
6.0,3.47738693,0.73375578
6.0,3.51507538,0.73651628
6.0,3.55276382,0.73925868
6.0,3.59045226,0.74198353
6.0,3.62814070,0.74469140
6.0,3.66582915,0.74738280
6.0,3.70351759,0.75005823
6.0,3.74120603,0.75271819
6.0,3.77889447,0.75536312
6.0,3.81658291,0.75799349
6.0,3.85427136,0.76060970
6.0,3.89195980,0.76321218
6.0,3.92964824,0.76580133
6.0,3.96733668,0.76837751
6.0,4.00502513,0.77094110
6.0,4.04271357,0.77349244
6.0,4.08040201,0.77603189
6.0,4.11809045,0.77855976
6.0,4.15577889,0.78107637
6.0,4.19346734,0.78358202
6.0,4.23115578,0.78607700
6.0,4.26884422,0.78856161
6.0,4.30653266,0.79103611
6.0,4.34422111,0.79350076
6.0,4.38190955,0.79595582
6.0,4.41959799,0.79840153
6.0,4.45728643,0.80083813
6.0,4.49497487,0.80326585
6.0,4.53266332,0.80568491
6.0,4.57035176,0.80809553
6.0,4.60804020,0.81049791
6.0,4.64572864,0.81289226
6.0,4.68341709,0.81527876
6.0,4.72110553,0.81765760
6.0,4.75879397,0.82002898
6.0,4.79648241,0.82239305
6.0,4.83417085,0.82475000
6.0,4.87185930,0.82709999
6.0,4.90954774,0.82944318
6.0,4.94723618,0.83177972
6.0,4.98492462,0.83410977
6.0,5.02261307,0.83643347
6.0,5.06030151,0.83875096
6.0,5.09798995,0.84106238
6.0,5.13567839,0.84336787
6.0,5.17336683,0.84566755
6.0,5.21105528,0.84796156
6.0,5.24874372,0.85025000
6.0,5.28643216,0.85253301
6.0,5.32412060,0.85481070
6.0,5.36180905,0.85708317
6.0,5.39949749,0.85935054
6.0,5.43718593,0.86161292
6.0,5.47487437,0.86387041
6.0,5.51256281,0.86612310
6.0,5.55025126,0.86837110
6.0,5.58793970,0.87061450
6.0,5.62562814,0.87285339
6.0,5.66331658,0.87508787
6.0,5.70100503,0.87731801
6.0,5.73869347,0.87954391
6.0,5.77638191,0.88176566
6.0,5.81407035,0.88398332
6.0,5.85175879,0.88619698
6.0,5.88944724,0.88840671
6.0,5.92713568,0.89061260
6.0,5.96482412,0.89281471
6.0,6.00251256,0.89501311
6.0,6.04020101,0.89720788
6.0,6.07788945,0.89939908
6.0,6.11557789,0.90158678
6.0,6.15326633,0.90377104
6.0,6.19095477,0.90595192
6.0,6.22864322,0.90812949
6.0,6.26633166,0.91030381
6.0,6.30402010,0.91247493
6.0,6.34170854,0.91464291
6.0,6.37939698,0.91680781
6.0,6.41708543,0.91896968
6.0,6.45477387,0.92112857
6.0,6.49246231,0.92328454
6.0,6.53015075,0.92543763
6.0,6.56783920,0.92758790
6.0,6.60552764,0.92973540
6.0,6.64321608,0.93188017
6.0,6.68090452,0.93402225
