# V_3Q vs L_min at beta=5.7
L_min,V_3Q_latt,error
1.93186044,0.84570000,0.00380000
2.44948974,1.02380000,0.00400000
2.90931360,1.09730000,0.00430000
3.34606522,1.21850000,0.00620000
3.86370772,1.31580000,0.00440000
3.89823043,1.29290000,0.00410000
4.18154055,1.38660000,0.00480000
4.30695187,1.41610000,0.00490000
4.83656000,1.50400000,0.00630000
4.89897949,1.52340000,0.00370000
5.11119904,1.55940000,0.00630000
5.76611453,1.67500000,0.01180000
5.79555790,1.67560000,0.00430000
6.01944249,1.71450000,0.00430000
6.58971056,1.82390000,0.00560000
7.34846923,1.96070000,0.00930000
