# Finite Difference soliton collision: S=-0.1, v1=20, v2=-20
# L=30, N=512, T=1.0, tau=0.001
time,x_0.0000,x_0.2344,x_0.4688,x_0.7031,x_0.9375,x_1.1719,x_1.4062,x_1.6406,x_1.8750,x_2.1094,x_2.3438,x_2.5781,x_2.8125,x_3.0469,x_3.2812,x_3.5156,x_3.7500,x_3.9844,x_4.2188,x_4.4531,x_4.6875,x_4.9219,x_5.1562,x_5.3906,x_5.6250,x_5.8594,x_6.0938,x_6.3281,x_6.5625,x_6.7969,x_7.0312,x_7.2656,x_7.5000,x_7.7344,x_7.9688,x_8.2031,x_8.4375,x_8.6719,x_8.9062,x_9.1406,x_9.3750,x_9.6094,x_9.8438,x_10.0781,x_10.3125,x_10.5469,x_10.7812,x_11.0156,x_11.2500,x_11.4844,x_11.7188,x_11.9531,x_12.1875,x_12.4219,x_12.6562,x_12.8906,x_13.1250,x_13.3594,x_13.5938,x_13.8281,x_14.0625,x_14.2969,x_14.5312,x_14.7656,x_15.0000,x_15.2344,x_15.4688,x_15.7031,x_15.9375,x_16.1719,x_16.4062,x_16.6406,x_16.8750,x_17.1094,x_17.3438,x_17.5781,x_17.8125,x_18.0469,x_18.2812,x_18.5156,x_18.7500,x_18.9844,x_19.2188,x_19.4531,x_19.6875,x_19.9219,x_20.1562,x_20.3906,x_20.6250,x_20.8594,x_21.0938,x_21.3281,x_21.5625,x_21.7969,x_22.0312,x_22.2656,x_22.5000,x_22.7344,x_22.9688,x_23.2031,x_23.4375,x_23.6719,x_23.9062,x_24.1406,x_24.3750,x_24.6094,x_24.8438,x_25.0781,x_25.3125,x_25.5469,x_25.7812,x_26.0156,x_26.2500,x_26.4844,x_26.7188,x_26.9531,x_27.1875,x_27.4219,x_27.6562,x_27.8906,x_28.1250,x_28.3594,x_28.5938,x_28.8281,x_29.0625,x_29.2969,x_29.5312,x_29.7656
0.00000000,0.00000204,0.00000284,0.00000396,0.00000551,0.00000768,0.00001070,0.00001491,0.00002077,0.00002893,0.00004029,0.00005613,0.00007819,0.00010892,0.00015172,0.00021134,0.00029440,0.00041010,0.00057127,0.00079577,0.00110850,0.00154414,0.00215098,0.00299630,0.00417382,0.00581409,0.00809895,0.01128164,0.01571488,0.02188967,0.03048930,0.04246355,0.05913022,0.08231055,0.11450296,0.15908410,0.22048220,0.30414485,0.41582776,0.55915698,0.72978934,0.90576987,1.04143147,1.08358752,1.01232301,0.86035462,0.68227895,0.51772801,0.38290948,0.27925155,0.20210113,0.14572885,0.10480720,0.07537992,0.05406500,0.03893894,0.02779305,0.02018857,0.01415970,0.01063892,0.00696865,0.00594740,0.00294373,0.00397578,0.00026057,0.00381534,0.00233370,0.00538652,0.00597682,0.00941321,0.01233855,0.01773540,0.02431576,0.03414129,0.04735517,0.06607081,0.09186183,0.12781280,0.17741590,0.24561542,0.33799122,0.46006351,0.61361569,0.78964105,0.95827740,1.06795136,1.07177962,0.96793444,0.80142602,0.62470080,0.46921036,0.34506454,0.25087243,0.18128695,0.13058693,0.09391097,0.06747797,0.04846367,0.03479940,0.02498482,0.01793720,0.01287714,0.00924437,0.00663638,0.00476413,0.00342007,0.00245520,0.00176253,0.00126528,0.00090832,0.00065206,0.00046810,0.00033604,0.00024123,0.00017318,0.00012432,0.00008925,0.00006407,0.00004599,0.00003302,0.00002370,0.00001702,0.00001221,0.00000877,0.00000629,0.00000452,0.00000324,0.00000233,0.00000167
0.02000000,0.00000060,0.00000042,0.00000250,0.00000348,0.00000484,0.00000675,0.00000940,0.00001309,0.00001824,0.00002541,0.00003539,0.00004930,0.00006868,0.00009567,0.00013326,0.00018564,0.00025859,0.00036021,0.00050177,0.00069897,0.00097366,0.00135631,0.00188933,0.00263183,0.00366611,0.00510687,0.00711381,0.00990943,0.01380353,0.01922762,0.02678223,0.03730281,0.05194987,0.07233143,0.10066414,0.13997262,0.19430039,0.26882124,0.36952447,0.50161767,0.66500931,0.84537369,1.00463641,1.08709664,1.05569865,0.92625548,0.75120669,0.57803601,0.43098989,0.31565606,0.22904493,0.16526804,0.11906728,0.08547395,0.06158849,0.04396958,0.03194295,0.02240524,0.01683480,0.01102719,0.00941128,0.00465822,0.00629139,0.00041234,0.00603751,0.00369290,0.00852374,0.00945777,0.01489537,0.01952389,0.02806231,0.03847061,0.05400625,0.07488234,0.10440693,0.14497279,0.20120131,0.27793386,0.38123224,0.51559206,0.67998953,0.85873892,1.01320531,1.08861015,1.04977574,0.91443827,0.73649495,0.56343521,0.41829128,0.30553334,0.22129546,0.15958959,0.11483487,0.08253686,0.05928820,0.04257528,0.03056888,0.02194658,0.01575564,0.01131088,0.00811992,0.00582914,0.00418462,0.00300405,0.00215654,0.00154814,0.00111137,0.00079783,0.00057274,0.00041116,0.00029516,0.00021189,0.00015211,0.00010920,0.00007839,0.00005627,0.00004040,0.00002900,0.00002082,0.00001495,0.00001073,0.00000770,0.00000553,0.00000397,0.00000285,0.00000205,0.00000148,0.00000032
0.04000000,0.00000034,0.00000033,0.00000070,0.00000194,0.00000314,0.00000435,0.00000606,0.00000844,0.00001175,0.00001637,0.00002280,0.00003177,0.00004425,0.00006164,0.00008586,0.00011961,0.00016661,0.00023209,0.00032330,0.00045036,0.00062734,0.00087389,0.00121731,0.00169572,0.00236212,0.00329043,0.00458355,0.00638488,0.00889410,0.01238949,0.01725857,0.02404133,0.03348997,0.04665244,0.06498807,0.09052407,0.12605558,0.17534650,0.24321451,0.33526662,0.45689965,0.61029987,0.78745248,0.95967585,1.07508460,1.08419680,0.98352864,0.81782137,0.63979654,0.48168498,0.35482999,0.25808922,0.18672416,0.13433478,0.09690528,0.06922321,0.05030458,0.03528965,0.02651812,0.01737062,0.01482554,0.00733811,0.00991095,0.00064956,0.00951102,0.00581745,0.01342747,0.01489853,0.02346361,0.03075252,0.04419655,0.06057469,0.08499896,0.11775230,0.16390485,0.22685077,0.31289009,0.42716697,0.57331565,0.74586955,0.92198106,1.05538360,1.09303898,1.01586354,0.85926499,0.67918413,0.51442732,0.38001650,0.27672812,0.19990304,0.14383146,0.10331909,0.07417939,0.05325115,0.03822690,0.02744169,0.01969956,0.01414178,0.01015203,0.00728791,0.00523181,0.00375581,0.00269620,0.00193555,0.00138948,0.00099748,0.00071607,0.00051405,0.00036902,0.00026491,0.00019018,0.00013652,0.00009801,0.00007036,0.00005051,0.00003626,0.00002603,0.00001869,0.00001341,0.00000963,0.00000691,0.00000496,0.00000356,0.00000256,0.00000184,0.00000121,0.00000050,0.00000028
0.06000000,0.00000042,0.00000032,0.00000037,0.00000040,0.00000112,0.00000308,0.00000421,0.00000586,0.00000817,0.00001138,0.00001585,0.00002208,0.00003076,0.00004284,0.00005968,0.00008314,0.00011581,0.00016132,0.00022472,0.00031303,0.00043605,0.00060742,0.00084612,0.00117865,0.00164184,0.00228708,0.00318586,0.00443784,0.00618172,0.00861069,0.01199344,0.01670354,0.02325882,0.03237324,0.04501967,0.06249009,0.08644365,0.11899172,0.16302067,0.22270405,0.30370008,0.41230619,0.55300889,0.72279843,0.90165509,1.04469839,1.09548760,1.03011135,0.88105297,0.70269670,0.53565259,0.39711823,0.29027979,0.20996722,0.15189451,0.10866178,0.07902542,0.05545882,0.04168303,0.02730682,0.02330747,0.01153652,0.01558178,0.00102122,0.01495306,0.00914588,0.02110982,0.02342126,0.03688357,0.04833323,0.06944310,0.09512042,0.13332543,0.18429743,0.25546520,0.35076269,0.47662160,0.63319307,0.81062645,0.97756011,1.08261005,1.07863385,0.96630989,0.79502585,0.61790660,0.46452340,0.34340299,0.25211826,0.18467779,0.13498721,0.09826468,0.07116630,0.05132967,0.03693230,0.02654167,0.01906357,0.01368886,0.00982820,0.00705591,0.00506545,0.00363643,0.00261054,0.00187405,0.00134535,0.00096579,0.00069333,0.00049772,0.00035730,0.00025650,0.00018414,0.00013219,0.00009489,0.00006812,0.00004890,0.00003511,0.00002520,0.00001809,0.00001299,0.00000932,0.00000669,0.00000480,0.00000345,0.00000248,0.00000182,0.00000072,0.00000030,0.00000027,0.00000027
0.08000000,0.00000025,0.00000022,0.00000037,0.00000033,0.00000045,0.00000130,0.00000295,0.00000452,0.00000622,0.00000867,0.00001207,0.00001682,0.00002343,0.00003263,0.00004546,0.00006332,0.00008821,0.00012288,0.00017116,0.00023843,0.00033213,0.00046266,0.00064447,0.00089774,0.00125049,0.00174186,0.00242612,0.00337892,0.00470490,0.00654889,0.00910885,0.01265179,0.01752524,0.02415469,0.03301230,0.04460194,0.05962790,0.07941977,0.10631400,0.14367389,0.19582811,0.26801737,0.36619997,0.49555944,0.65660170,0.83668100,1.00044539,1.09077772,1.06573384,0.93991762,0.76678784,0.59273154,0.44379568,0.32523616,0.23693481,0.17011208,0.12395453,0.08707196,0.06547889,0.04290540,0.03662764,0.01813023,0.02448917,0.00160498,0.02350119,0.01437344,0.03317512,0.03680264,0.05794682,0.07590298,0.10897558,0.14904801,0.20833306,0.28642433,0.39300708,0.52947738,0.69561243,0.87335336,1.02497786,1.09515774,1.04864092,0.90686938,0.72758166,0.55632382,0.41389391,0.30374747,0.22191500,0.16244002,0.11974982,0.08913451,0.06684960,0.05013153,0.03727906,0.02739548,0.01993470,0.01441498,0.01038742,0.00747150,0.00536900,0.00385631,0.00276907,0.00198815,0.00142733,0.00102470,0.00073561,0.00052809,0.00037910,0.00027215,0.00019537,0.00014025,0.00010068,0.00007228,0.00005189,0.00003725,0.00002674,0.00001920,0.00001378,0.00000989,0.00000710,0.00000510,0.00000366,0.00000265,0.00000178,0.00000078,0.00000030,0.00000028,0.00000029,0.00000025
0.10000000,0.00000040,0.00000041,0.00000023,0.00000070,0.00000040,0.00000115,0.00000198,0.00000249,0.00000478,0.00000667,0.00000927,0.00001291,0.00001799,0.00002506,0.00003491,0.00004863,0.00006773,0.00009436,0.00013143,0.00018310,0.00025503,0.00035527,0.00049484,0.00068929,0.00095995,0.00133684,0.00186089,0.00258907,0.00359754,0.00498786,0.00688454,0.00942546,0.01271989,0.01680955,0.02173265,0.02784093,0.03608996,0.04791424,0.06495703,0.08916562,0.12315856,0.17044606,0.23570928,0.32454134,0.44279868,0.59328946,0.76969358,0.94596281,1.07102668,1.08873434,0.99334100,0.83020185,0.65362247,0.49345904,0.36554462,0.26478886,0.19386888,0.13650723,0.10279383,0.06739483,0.05755815,0.02849299,0.03849297,0.00252264,0.03694063,0.02258981,0.05213706,0.05781806,0.09099817,0.11906946,0.17064210,0.23252411,0.32279040,0.43800302,0.58692568,0.75883213,0.93321606,1.06224535,1.09296309,1.00553437,0.84240438,0.66146163,0.49906516,0.36792047,0.26800512,0.19403475,0.14020636,0.10138236,0.07363333,0.05399053,0.04029284,0.03080265,0.02398944,0.01866630,0.01425664,0.01064594,0.00781397,0.00567649,0.00410009,0.00295290,0.00212322,0.00152558,0.00109560,0.00078673,0.00056481,0.00040551,0.00029110,0.00020899,0.00015002,0.00010770,0.00007731,0.00005551,0.00003984,0.00002860,0.00002053,0.00001474,0.00001058,0.00000760,0.00000545,0.00000392,0.00000282,0.00000149,0.00000123,0.00000071,0.00000022,0.00000044,0.00000016,0.00000026
0.12000000,0.00000051,0.00000001,0.00000066,0.00000049,0.00000114,0.00000097,0.00000205,0.00000295,0.00000389,0.00000464,0.00000720,0.00001001,0.00001394,0.00001942,0.00002705,0.00003768,0.00005248,0.00007311,0.00010183,0.00014187,0.00019758,0.00027523,0.00038325,0.00053372,0.00074269,0.00103301,0.00143404,0.00198529,0.00273093,0.00371384,0.00493597,0.00630502,0.00758697,0.00861761,0.00982426,0.01252164,0.01785985,0.02622998,0.03806277,0.05433393,0.07670578,0.10750143,0.15002167,0.20845669,0.28832366,0.39535984,0.53441828,0.70299848,0.88471479,1.03643169,1.09812094,1.03804479,0.89297913,0.71497559,0.54940119,0.40632330,0.30098160,0.21317745,0.16107329,0.10575679,0.09041691,0.04476864,0.06050621,0.00396480,0.05806855,0.03549695,0.08191817,0.09076551,0.14270320,0.18622808,0.26569305,0.35875612,0.48994944,0.64540313,0.82353818,0.98681577,1.08823602,1.07482007,0.95229130,0.77557540,0.59871829,0.44687246,0.32748536,0.23741420,0.17116840,0.12284304,0.08783197,0.06241285,0.04395012,0.03049464,0.02082380,0.01430269,0.01063750,0.00902038,0.00802440,0.00684272,0.00547473,0.00417540,0.00309300,0.00225706,0.00163351,0.00117787,0.00084728,0.00060903,0.00043739,0.00031414,0.00022551,0.00016193,0.00011623,0.00008345,0.00005990,0.00004301,0.00003087,0.00002216,0.00001591,0.00001142,0.00000820,0.00000589,0.00000423,0.00000275,0.00000231,0.00000173,0.00000125,0.00000050,0.00000074,0.00000021,0.00000050,0.00000020
0.14000000,0.00000054,0.00000060,0.00000093,0.00000100,0.00000167,0.00000204,0.00000282,0.00000447,0.00000599,0.00000732,0.00000942,0.00001221,0.00001732,0.00002413,0.00003361,0.00004682,0.00006522,0.00009085,0.00012655,0.00017627,0.00024550,0.00034189,0.00047599,0.00066236,0.00092071,0.00127741,0.00176518,0.00242032,0.00326504,0.00426334,0.00522962,0.00577236,0.00539805,0.00379340,0.00113282,0.00335179,0.00841041,0.01477859,0.02294481,0.03369289,0.04821656,0.06802929,0.09538657,0.13305371,0.18515033,0.25632644,0.35293999,0.47970124,0.63877806,0.81862024,0.98996823,1.09051451,1.07430752,0.94947020,0.78108834,0.60322823,0.45888039,0.32962705,0.25114861,0.16549070,0.14186424,0.07027998,0.09508630,0.00622887,0.09126507,0.05573859,0.12859742,0.14217605,0.22294560,0.28902966,0.40788914,0.53912712,0.71063314,0.88349174,1.03520658,1.09847235,1.04267638,0.89058763,0.70935025,0.53943097,0.39976965,0.29144222,0.21099149,0.15183534,0.10900725,0.07788698,0.05539212,0.03895355,0.02687244,0.01778139,0.01077850,0.00522419,0.00106641,0.00281008,0.00491086,0.00575786,0.00552469,0.00467039,0.00365083,0.00273475,0.00200464,0.00145437,0.00104955,0.00075554,0.00054311,0.00039018,0.00028020,0.00020119,0.00014444,0.00010370,0.00007444,0.00005344,0.00003837,0.00002754,0.00001977,0.00001419,0.00001019,0.00000720,0.00000553,0.00000429,0.00000356,0.00000265,0.00000169,0.00000114,0.00000109,0.00000050,0.00000071,0.00000026
0.16000000,0.00000118,0.00000050,0.00000131,0.00000164,0.00000228,0.00000341,0.00000449,0.00000629,0.00000915,0.00001219,0.00001660,0.00002280,0.00003101,0.00004263,0.00005952,0.00008290,0.00011550,0.00016086,0.00022410,0.00031207,0.00043468,0.00060513,0.00084229,0.00117102,0.00162567,0.00224823,0.00308715,0.00417138,0.00545603,0.00672158,0.00757517,0.00762710,0.00678036,0.00530285,0.00395683,0.00415479,0.00644525,0.01008963,0.01507434,0.02176004,0.03092374,0.04344979,0.06088028,0.08486699,0.11836585,0.16433462,0.22813903,0.31421242,0.43011590,0.57661057,0.75244438,0.93133937,1.06958825,1.09361361,1.00633214,0.83825260,0.67195664,0.49778747,0.38683089,0.25713377,0.22189282,0.11007462,0.14932513,0.00977457,0.14336227,0.08735353,0.20140759,0.22146359,0.34504423,0.44026821,0.60620015,0.76666536,0.94741240,1.06871599,1.09628814,0.99457877,0.82603570,0.64360280,0.48518459,0.35642906,0.25960355,0.18728265,0.13504496,0.09688228,0.06956781,0.04970647,0.03546543,0.02506300,0.01751134,0.01189822,0.00775864,0.00486194,0.00376845,0.00468269,0.00623879,0.00738918,0.00770676,0.00713628,0.00598285,0.00466732,0.00349048,0.00255453,0.00185140,0.00133513,0.00096086,0.00069051,0.00049608,0.00035618,0.00025578,0.00018360,0.00013183,0.00009463,0.00006794,0.00004877,0.00003502,0.00002509,0.00001821,0.00001339,0.00000975,0.00000713,0.00000543,0.00000367,0.00000267,0.00000198,0.00000140,0.00000084,0.00000094,0.00000015
0.18000000,0.00000136,0.00000103,0.00000237,0.00000234,0.00000402,0.00000488,0.00000742,0.00000972,0.00001411,0.00001971,0.00002692,0.00003702,0.00005177,0.00007289,0.00010088,0.00014027,0.00019548,0.00027224,0.00037924,0.00052805,0.00073533,0.00102313,0.00142270,0.00197382,0.00272847,0.00373734,0.00502228,0.00648461,0.00783954,0.00867109,0.00870997,0.00798574,0.00683238,0.00565305,0.00490613,0.00489618,0.00582821,0.00763701,0.01046205,0.01444586,0.02012542,0.02793422,0.03899833,0.05413894,0.07560213,0.10484552,0.14624676,0.20214278,0.28043077,0.38322370,0.52063693,0.68359860,0.87064721,1.02666601,1.10708511,1.04201902,0.91279610,0.71505176,0.57917293,0.39269286,0.34439302,0.17140506,0.23408844,0.01529412,0.22489089,0.13623399,0.31361904,0.34025236,0.52223426,0.64350623,0.84540658,0.99026586,1.10096955,1.06942961,0.94156390,0.75567223,0.58373613,0.43325194,0.31857736,0.23010304,0.16673773,0.11957019,0.08627798,0.06177042,0.04451429,0.03187091,0.02296507,0.01646611,0.01190339,0.00862706,0.00644927,0.00515070,0.00480306,0.00527805,0.00634239,0.00755231,0.00850025,0.00878628,0.00825623,0.00706028,0.00559648,0.00421847,0.00309831,0.00224741,0.00162192,0.00116710,0.00083907,0.00060264,0.00043284,0.00031073,0.00022312,0.00016016,0.00011499,0.00008252,0.00005932,0.00004285,0.00003043,0.00002174,0.00001585,0.00001158,0.00000836,0.00000561,0.00000447,0.00000271,0.00000257,0.00000111,0.00000178,0.00000027
