# Split-Step soliton collision: S=-0.1, v1=10, v2=-10
# L=64, N=512, T=1.0, tau=0.01
time,x_0.0000,x_0.5000,x_1.0000,x_1.5000,x_2.0000,x_2.5000,x_3.0000,x_3.5000,x_4.0000,x_4.5000,x_5.0000,x_5.5000,x_6.0000,x_6.5000,x_7.0000,x_7.5000,x_8.0000,x_8.5000,x_9.0000,x_9.5000,x_10.0000,x_10.5000,x_11.0000,x_11.5000,x_12.0000,x_12.5000,x_13.0000,x_13.5000,x_14.0000,x_14.5000,x_15.0000,x_15.5000,x_16.0000,x_16.5000,x_17.0000,x_17.5000,x_18.0000,x_18.5000,x_19.0000,x_19.5000,x_20.0000,x_20.5000,x_21.0000,x_21.5000,x_22.0000,x_22.5000,x_23.0000,x_23.5000,x_24.0000,x_24.5000,x_25.0000,x_25.5000,x_26.0000,x_26.5000,x_27.0000,x_27.5000,x_28.0000,x_28.5000,x_29.0000,x_29.5000,x_30.0000,x_30.5000,x_31.0000,x_31.5000,x_32.0000,x_32.5000,x_33.0000,x_33.5000,x_34.0000,x_34.5000,x_35.0000,x_35.5000,x_36.0000,x_36.5000,x_37.0000,x_37.5000,x_38.0000,x_38.5000,x_39.0000,x_39.5000,x_40.0000,x_40.5000,x_41.0000,x_41.5000,x_42.0000,x_42.5000,x_43.0000,x_43.5000,x_44.0000,x_44.5000,x_45.0000,x_45.5000,x_46.0000,x_46.5000,x_47.0000,x_47.5000,x_48.0000,x_48.5000,x_49.0000,x_49.5000,x_50.0000,x_50.5000,x_51.0000,x_51.5000,x_52.0000,x_52.5000,x_53.0000,x_53.5000,x_54.0000,x_54.5000,x_55.0000,x_55.5000,x_56.0000,x_56.5000,x_57.0000,x_57.5000,x_58.0000,x_58.5000,x_59.0000,x_59.5000,x_60.0000,x_60.5000,x_61.0000,x_61.5000,x_62.0000,x_62.5000,x_63.0000,x_63.5000
0.00000000,0.00003452,0.00007001,0.00014199,0.00028797,0.00058403,0.00118448,0.00240225,0.00487203,0.00988087,0.02003827,0.04062906,0.08231060,0.16618929,0.33096768,0.62485330,0.98677490,1.04756736,0.71771563,0.39090108,0.19778187,0.09810445,0.04853123,0.02381049,0.01183571,0.00607414,0.00197984,0.00381534,0.00430413,0.01002598,0.02006508,0.04057344,0.08235029,0.16616997,0.33097411,0.62485235,0.98677482,1.04756664,0.71771690,0.39090224,0.19777104,0.09813731,0.04846369,0.02390494,0.01178788,0.00581236,0.00286591,0.00141309,0.00069675,0.00034355,0.00016939,0.00008352,0.00004118,0.00002031,0.00001001,0.00000494,0.00000243,0.00000120,0.00000059,0.00000029,0.00000014,0.00000007,0.00000003,0.00000002,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00001116,0.00005499,0.00010714,0.00021689,0.00044007,0.00089268,0.00181047,0.00367176,0.00744665,0.01510216,0.03062425,0.06207119,0.12556751,0.25203038,0.49026390,0.85115317,1.08459507,0.86951165,0.50577040,0.26077800,0.12997230,0.06437158,0.03159113,0.01570442,0.00805971,0.00262704,0.00506256,0.00571110,0.01330322,0.02662258,0.05382241,0.10915106,0.21950734,0.43135604,0.77523067,1.07116744,0.93981524,0.57181398,0.29894459,0.14959050,0.07402577,0.03653201,0.01801660,0.00888391,0.00438043,0.00215986,0.00106496,0.00052509,0.00025891,0.00012766,0.00006295,0.00003104,0.00001530,0.00000754,0.00000372,0.00000184,0.00000090,0.00000045,0.00000022,0.00000011,0.00000005,0.00000003,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000003,0.00000005,0.00000007,0.00000011,0.00000021,0.00000058,0.00000360
0.04000000,0.00000784,0.00003168,0.00007890,0.00016308,0.00033172,0.00067288,0.00136447,0.00276714,0.00561207,0.01138182,0.02308164,0.04679610,0.09477204,0.19108483,0.37841345,0.69914626,1.03726968,1.00053062,0.64313605,0.34229389,0.17200097,0.08535911,0.04191151,0.02083733,0.01069429,0.00348581,0.00671750,0.00757800,0.01765152,0.03532148,0.07138414,0.14456135,0.28904385,0.55517973,0.92307767,1.07613416,0.79440238,0.44555752,0.22722303,0.11297351,0.05581713,0.02753539,0.01357842,0.00669530,0.00330125,0.00162776,0.00080260,0.00039574,0.00019512,0.00009621,0.00004744,0.00002339,0.00001153,0.00000568,0.00000280,0.00000138,0.00000068,0.00000034,0.00000016,0.00000008,0.00000004,0.00000002,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000004,0.00000005,0.00000007,0.00000010,0.00000016,0.00000028,0.00000066,0.00000251,0.00000407
0.06000000,0.00000629,0.00001737,0.00006534,0.00012371,0.00025047,0.00050721,0.00102822,0.00208534,0.00422949,0.00857795,0.01739608,0.03527456,0.07148368,0.14450499,0.28918038,0.55561856,0.92313426,1.07538101,0.79480309,0.44588626,0.22719747,0.11313825,0.05559724,0.02764721,0.01419001,0.00462529,0.00891339,0.01005510,0.02342068,0.04685919,0.09464593,0.19120939,0.37857392,0.69967052,1.03676618,1.00023632,0.64365396,0.34243311,0.17208263,0.08524292,0.04207809,0.02075320,0.01023339,0.00504588,0.00248795,0.00122673,0.00060487,0.00029825,0.00014705,0.00007250,0.00003575,0.00001763,0.00000870,0.00000429,0.00000211,0.00000104,0.00000052,0.00000026,0.00000013,0.00000006,0.00000003,0.00000002,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000007,0.00000009,0.00000012,0.00000018,0.00000031,0.00000068,0.00000204,0.00000396,0.00000398
0.08000000,0.00000537,0.00001147,0.00003909,0.00009492,0.00018928,0.00038198,0.00077467,0.00157158,0.00318760,0.00646480,0.01311067,0.02658724,0.05389832,0.10911624,0.21967407,0.43220135,0.77652874,1.06904130,0.93975486,0.57325562,0.29917707,0.14984588,0.07373844,0.03668104,0.01882817,0.00613724,0.01182711,0.01334180,0.03107444,0.06215777,0.12542197,0.25236163,0.49132060,0.85199820,1.08220615,0.87018339,0.50695579,0.26099062,0.13004669,0.06428563,0.03171685,0.01564100,0.00771233,0.00380281,0.00187501,0.00092450,0.00045585,0.00022477,0.00011083,0.00005464,0.00002694,0.00001328,0.00000655,0.00000323,0.00000159,0.00000078,0.00000039,0.00000019,0.00000010,0.00000005,0.00000002,0.00000001,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000006,0.00000008,0.00000010,0.00000014,0.00000020,0.00000033,0.00000067,0.00000176,0.00000350,0.00000295,0.00000371
0.10000000,0.00000474,0.00000856,0.00002342,0.00007166,0.00013820,0.00028658,0.00058368,0.00118460,0.00240243,0.00487216,0.00988065,0.02003847,0.04063072,0.08232292,0.16629361,0.33170890,0.62736884,0.98558842,1.04479464,0.72018742,0.39192374,0.19822063,0.09776988,0.04866332,0.02498194,0.00814336,0.01569324,0.01770259,0.04122731,0.08243407,0.16606243,0.33187712,0.62728222,0.98562178,1.04479557,0.72013968,0.39206309,0.19794001,0.09815975,0.04846601,0.02390534,0.01178794,0.00581225,0.00286597,0.00141311,0.00069674,0.00034353,0.00016939,0.00008353,0.00004119,0.00002030,0.00001000,0.00000494,0.00000244,0.00000121,0.00000059,0.00000029,0.00000014,0.00000008,0.00000004,0.00000002,0.00000000,0.00000001,0.00000001,0.00000001,0.00000000,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000006,0.00000007,0.00000008,0.00000011,0.00000015,0.00000021,0.00000034,0.00000066,0.00000158,0.00000308,0.00000206,0.00000239,0.00000347
0.12000000,0.00000428,0.00000690,0.00001529,0.00004656,0.00011186,0.00021887,0.00044101,0.00089323,0.00181058,0.00367167,0.00744630,0.01510265,0.03062511,0.06207866,0.12563387,0.25252904,0.49310722,0.85316267,1.07868473,0.87121242,0.50857675,0.26169121,0.12957087,0.06455243,0.03314602,0.01080520,0.02082313,0.02348823,0.05469290,0.10928831,0.21956293,0.43377200,0.77830257,1.06593651,0.93964301,0.57531251,0.29978927,0.14969630,0.07404031,0.03653328,0.01801675,0.00888417,0.00438025,0.00215988,0.00106499,0.00052512,0.00025890,0.00012764,0.00006295,0.00003105,0.00001531,0.00000754,0.00000371,0.00000184,0.00000091,0.00000045,0.00000022,0.00000010,0.00000005,0.00000003,0.00000002,0.00000001,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000006,0.00000007,0.00000009,0.00000011,0.00000015,0.00000022,0.00000035,0.00000065,0.00000144,0.00000274,0.00000195,0.00000227,0.00000225,0.00000326
0.14000000,0.00000393,0.00000584,0.00001093,0.00003005,0.00008252,0.00016157,0.00033277,0.00067297,0.00136404,0.00276685,0.00561201,0.01138232,0.02308200,0.04679985,0.09481007,0.19136285,0.38063749,0.70402152,1.03232451,0.99758332,0.64790555,0.34446126,0.17158288,0.08561428,0.04397612,0.01433696,0.02762974,0.03116374,0.07254718,0.14481591,0.28969928,0.55999574,0.92327289,1.06893301,0.79822417,0.44874818,0.22771136,0.11302982,0.05582590,0.02753599,0.01357832,0.00669556,0.00330121,0.00162771,0.00080258,0.00039578,0.00019514,0.00009618,0.00004743,0.00002340,0.00001155,0.00000569,0.00000279,0.00000138,0.00000069,0.00000034,0.00000017,0.00000007,0.00000003,0.00000002,0.00000002,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000006,0.00000006,0.00000008,0.00000009,0.00000012,0.00000016,0.00000022,0.00000035,0.00000064,0.00000134,0.00000247,0.00000207,0.00000240,0.00000242,0.00000223,0.00000309
0.16000000,0.00000365,0.00000512,0.00000843,0.00002031,0.00005555,0.00012779,0.00024735,0.00050462,0.00102712,0.00208553,0.00422959,0.00857839,0.01739605,0.03527595,0.07150566,0.14464693,0.29052730,0.56129545,0.92333454,1.06670561,0.79903380,0.45061083,0.22695344,0.11351849,0.05834066,0.01902283,0.03666097,0.04134538,0.09620961,0.19171546,0.38092729,0.70601928,1.03049629,0.99646447,0.64983828,0.34461632,0.17233694,0.08526763,0.04208399,0.02075310,0.01023340,0.00504594,0.00248792,0.00122684,0.00060474,0.00029826,0.00014710,0.00007250,0.00003573,0.00001762,0.00000870,0.00000430,0.00000211,0.00000103,0.00000051,0.00000026,0.00000013,0.00000006,0.00000002,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000003,0.00000004,0.00000004,0.00000004,0.00000005,0.00000006,0.00000007,0.00000008,0.00000010,0.00000012,0.00000016,0.00000023,0.00000035,0.00000063,0.00000125,0.00000226,0.00000215,0.00000218,0.00000207,0.00000233,0.00000222,0.00000294
0.18000000,0.00000342,0.00000459,0.00000688,0.00001452,0.00003678,0.00009408,0.00018826,0.00038534,0.00077652,0.00157299,0.00318753,0.00646527,0.01311007,0.02658765,0.05391232,0.10918380,0.22032952,0.43692645,0.78210290,1.05948667,0.93837695,0.58113709,0.29991042,0.15043243,0.07738690,0.02523958,0.04864357,0.05484938,0.12755246,0.25364264,0.49657367,0.85566235,1.07126470,0.87266419,0.51315747,0.26215198,0.13018564,0.06429280,0.03172136,0.01564082,0.00771205,0.00380318,0.00187465,0.00092477,0.00045579,0.00022468,0.00011087,0.00005468,0.00002693,0.00001326,0.00000655,0.00000325,0.00000160,0.00000078,0.00000037,0.00000019,0.00000010,0.00000005,0.00000002,0.00000000,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000002,0.00000003,0.00000003,0.00000003,0.00000003,0.00000004,0.00000004,0.00000005,0.00000005,0.00000006,0.00000007,0.00000008,0.00000010,0.00000013,0.00000017,0.00000023,0.00000036,0.00000062,0.00000118,0.00000208,0.00000218,0.00000185,0.00000164,0.00000175,0.00000216,0.00000221,0.00000281
