# Split-Step soliton collision: S=0.4, v1=20, v2=-20
# L=64, N=512, T=1.0, tau=0.01
time,x_0.0000,x_0.5000,x_1.0000,x_1.5000,x_2.0000,x_2.5000,x_3.0000,x_3.5000,x_4.0000,x_4.5000,x_5.0000,x_5.5000,x_6.0000,x_6.5000,x_7.0000,x_7.5000,x_8.0000,x_8.5000,x_9.0000,x_9.5000,x_10.0000,x_10.5000,x_11.0000,x_11.5000,x_12.0000,x_12.5000,x_13.0000,x_13.5000,x_14.0000,x_14.5000,x_15.0000,x_15.5000,x_16.0000,x_16.5000,x_17.0000,x_17.5000,x_18.0000,x_18.5000,x_19.0000,x_19.5000,x_20.0000,x_20.5000,x_21.0000,x_21.5000,x_22.0000,x_22.5000,x_23.0000,x_23.5000,x_24.0000,x_24.5000,x_25.0000,x_25.5000,x_26.0000,x_26.5000,x_27.0000,x_27.5000,x_28.0000,x_28.5000,x_29.0000,x_29.5000,x_30.0000,x_30.5000,x_31.0000,x_31.5000,x_32.0000,x_32.5000,x_33.0000,x_33.5000,x_34.0000,x_34.5000,x_35.0000,x_35.5000,x_36.0000,x_36.5000,x_37.0000,x_37.5000,x_38.0000,x_38.5000,x_39.0000,x_39.5000,x_40.0000,x_40.5000,x_41.0000,x_41.5000,x_42.0000,x_42.5000,x_43.0000,x_43.5000,x_44.0000,x_44.5000,x_45.0000,x_45.5000,x_46.0000,x_46.5000,x_47.0000,x_47.5000,x_48.0000,x_48.5000,x_49.0000,x_49.5000,x_50.0000,x_50.5000,x_51.0000,x_51.5000,x_52.0000,x_52.5000,x_53.0000,x_53.5000,x_54.0000,x_54.5000,x_55.0000,x_55.5000,x_56.0000,x_56.5000,x_57.0000,x_57.5000,x_58.0000,x_58.5000,x_59.0000,x_59.5000,x_60.0000,x_60.5000,x_61.0000,x_61.5000,x_62.0000,x_62.5000,x_63.0000,x_63.5000
0.00000000,0.00003452,0.00007001,0.00014199,0.00028797,0.00058403,0.00118448,0.00240225,0.00487204,0.00988099,0.02003927,0.04063751,0.08238042,0.16676836,0.33567610,0.66031812,1.19178929,1.66378166,1.47872101,0.90584448,0.47461475,0.23766541,0.11767396,0.05802931,0.02835234,0.01373297,0.00752155,0.00583405,0.00577308,0.00934525,0.01964786,0.04061559,0.08246668,0.16680863,0.33567147,0.66030626,1.19178475,1.66378208,1.47872491,0.90585290,0.47461786,0.23763715,0.11761358,0.05804485,0.02862649,0.01411558,0.00696004,0.00343179,0.00169211,0.00083433,0.00041138,0.00020284,0.00010001,0.00004931,0.00002431,0.00001199,0.00000591,0.00000291,0.00000144,0.00000071,0.00000035,0.00000017,0.00000008,0.00000004,0.00000002,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00007541,0.00009285,0.00007390,0.00026541,0.00021759,0.00077523,0.00134144,0.00270667,0.00580127,0.01108135,0.02345891,0.04643299,0.09515385,0.19188173,0.38515156,0.75117531,1.31093739,1.68804455,1.37172387,0.80145878,0.41408514,0.20681817,0.10184604,0.05019868,0.02389771,0.01348144,0.01007194,0.01042213,0.01622393,0.03466276,0.07164497,0.14457269,0.29293478,0.57766331,1.07496005,1.60495926,1.57364806,1.01529731,0.54488610,0.27203732,0.13623216,0.06636744,0.03321548,0.01621032,0.00794787,0.00409436,0.00179595,0.00109114,0.00039944,0.00027749,0.00015939,0.00005382,0.00009479,0.00004757,0.00005979,0.00004964,0.00004556,0.00004323,0.00003915,0.00003708,0.00003452,0.00003254,0.00003074,0.00002912,0.00002771,0.00002642,0.00002528,0.00002425,0.00002333,0.00002250,0.00002174,0.00002106,0.00002045,0.00001990,0.00001940,0.00001895,0.00001854,0.00001818,0.00001785,0.00001756,0.00001731,0.00001709,0.00001689,0.00001673,0.00001660,0.00001649,0.00001640,0.00001635,0.00001631,0.00001631,0.00001632,0.00001636,0.00001643,0.00001652,0.00001664,0.00001678,0.00001695,0.00001715,0.00001738,0.00001763,0.00001793,0.00001825,0.00001861,0.00001902,0.00001946,0.00001996,0.00002050,0.00002109,0.00002175,0.00002247,0.00002327,0.00002414,0.00002511,0.00002618,0.00002736,0.00002867,0.00003012,0.00003174,0.00003355,0.00003557,0.00003785,0.00004042,0.00004334,0.00004665,0.00005042,0.00005467,0.00005909,0.00006079
0.04000000,0.00014774,0.00016116,0.00018201,0.00019265,0.00041334,0.00009885,0.00107982,0.00141783,0.00321934,0.00680190,0.01242558,0.02769012,0.05240948,0.11119127,0.21843058,0.44470566,0.84809180,1.42792984,1.67582390,1.25791436,0.70531570,0.36147402,0.17928259,0.08768804,0.04290334,0.02284703,0.01858618,0.01746697,0.02900789,0.06132049,0.12488580,0.25551826,0.50475212,0.96104855,1.52343896,1.64093284,1.13422203,0.62211701,0.31231115,0.15718801,0.07638327,0.03810377,0.01899546,0.00882318,0.00501995,0.00184847,0.00138950,0.00048616,0.00034608,0.00029125,0.00011788,0.00018409,0.00012241,0.00012504,0.00011053,0.00009923,0.00009300,0.00008459,0.00007910,0.00007357,0.00006893,0.00006487,0.00006122,0.00005802,0.00005516,0.00005260,0.00005032,0.00004826,0.00004641,0.00004475,0.00004325,0.00004189,0.00004066,0.00003956,0.00003856,0.00003766,0.00003685,0.00003612,0.00003547,0.00003490,0.00003439,0.00003395,0.00003356,0.00003324,0.00003297,0.00003275,0.00003258,0.00003247,0.00003240,0.00003238,0.00003242,0.00003250,0.00003263,0.00003281,0.00003304,0.00003332,0.00003366,0.00003405,0.00003451,0.00003502,0.00003560,0.00003625,0.00003697,0.00003777,0.00003866,0.00003964,0.00004072,0.00004191,0.00004321,0.00004465,0.00004624,0.00004799,0.00004991,0.00005204,0.00005440,0.00005701,0.00005991,0.00006314,0.00006676,0.00007081,0.00007537,0.00008053,0.00008637,0.00009300,0.00010051,0.00010866,0.00011575,0.00013650
0.06000000,0.00022185,0.00025179,0.00028769,0.00030105,0.00037188,0.00059791,0.00017793,0.00151786,0.00131999,0.00414218,0.00767177,0.01437570,0.03238662,0.05952708,0.12896564,0.25069804,0.50938591,0.95721101,1.52911885,1.63292060,1.14157704,0.61850627,0.31506862,0.15379518,0.07508554,0.04128948,0.03143926,0.03159602,0.05167266,0.10594490,0.22210153,0.44083406,0.85315278,1.42575345,1.67530720,1.25831509,0.70596230,0.36210659,0.17747535,0.09074948,0.04200254,0.02317572,0.00931314,0.00628613,0.00192540,0.00171037,0.00075981,0.00041610,0.00048139,0.00022736,0.00029678,0.00021938,0.00020579,0.00018510,0.00016387,0.00015192,0.00013778,0.00012762,0.00011818,0.00011008,0.00010309,0.00009685,0.00009141,0.00008656,0.00008225,0.00007841,0.00007497,0.00007188,0.00006910,0.00006660,0.00006435,0.00006231,0.00006047,0.00005882,0.00005732,0.00005597,0.00005476,0.00005367,0.00005270,0.00005184,0.00005108,0.00005041,0.00004984,0.00004935,0.00004894,0.00004861,0.00004836,0.00004819,0.00004809,0.00004806,0.00004811,0.00004823,0.00004842,0.00004868,0.00004903,0.00004945,0.00004995,0.00005053,0.00005120,0.00005197,0.00005283,0.00005380,0.00005487,0.00005606,0.00005739,0.00005884,0.00006045,0.00006222,0.00006418,0.00006632,0.00006869,0.00007130,0.00007418,0.00007737,0.00008089,0.00008480,0.00008916,0.00009401,0.00009944,0.00010553,0.00011240,0.00012016,0.00012895,0.00013890,0.00014986,0.00016071,0.00018410,0.00020289
0.08000000,0.00029819,0.00033918,0.00038548,0.00045427,0.00047074,0.00063431,0.00085163,0.00058989,0.00215191,0.00078955,0.00588321,0.00747389,0.01892296,0.03444297,0.07209504,0.14529145,0.29060802,0.58069396,1.07654746,1.60566415,1.56545984,1.02666787,0.54022785,0.27211354,0.13064783,0.07281697,0.05575756,0.05627956,0.08831468,0.18951191,0.38383019,0.75313284,1.31829397,1.67637418,1.37832971,0.80131838,0.41639262,0.20333486,0.10553094,0.04689263,0.02811521,0.00984874,0.00775648,0.00254131,0.00200198,0.00130185,0.00053347,0.00075242,0.00040189,0.00044732,0.00035072,0.00031068,0.00027980,0.00024453,0.00022378,0.00020172,0.00018499,0.00017023,0.00015748,0.00014661,0.00013701,0.00012866,0.00012128,0.00011476,0.00010897,0.00010381,0.00009919,0.00009505,0.00009133,0.00008799,0.00008497,0.00008225,0.00007980,0.00007758,0.00007559,0.00007379,0.00007217,0.00007072,0.00006943,0.00006828,0.00006726,0.00006637,0.00006561,0.00006495,0.00006441,0.00006397,0.00006364,0.00006340,0.00006326,0.00006322,0.00006328,0.00006343,0.00006368,0.00006403,0.00006448,0.00006503,0.00006569,0.00006646,0.00006735,0.00006836,0.00006949,0.00007077,0.00007219,0.00007377,0.00007551,0.00007745,0.00007958,0.00008192,0.00008451,0.00008736,0.00009051,0.00009397,0.00009780,0.00010204,0.00010674,0.00011196,0.00011777,0.00012426,0.00013153,0.00013970,0.00014892,0.00015934,0.00017111,0.00018416,0.00019773,0.00022085,0.00023946,0.00027001
0.10000000,0.00037838,0.00043111,0.00048644,0.00056263,0.00069018,0.00073648,0.00104739,0.00125595,0.00139776,0.00307360,0.00097772,0.00832279,0.00598277,0.02370807,0.03765950,0.08453876,0.16563523,0.33525544,0.66151674,1.20150918,1.65238138,1.47998645,0.91447195,0.46690595,0.23285591,0.12559120,0.10002016,0.09596246,0.15902546,0.32819433,0.65973250,1.20636283,1.64787180,1.48435723,0.90885233,0.47664480,0.23493393,0.11967314,0.05679807,0.02931758,0.01467984,0.00741403,0.00496759,0.00203936,0.00229207,0.00085857,0.00116756,0.00069494,0.00066684,0.00054002,0.00045621,0.00040641,0.00035011,0.00031517,0.00028150,0.00025514,0.00023281,0.00021359,0.00019740,0.00018328,0.00017107,0.00016039,0.00015100,0.00014272,0.00013538,0.00012884,0.00012301,0.00011779,0.00011311,0.00010889,0.00010510,0.00010169,0.00009860,0.00009583,0.00009332,0.00009107,0.00008904,0.00008723,0.00008560,0.00008416,0.00008289,0.00008178,0.00008082,0.00008000,0.00007932,0.00007876,0.00007834,0.00007804,0.00007786,0.00007781,0.00007787,0.00007805,0.00007835,0.00007878,0.00007933,0.00008001,0.00008082,0.00008177,0.00008287,0.00008412,0.00008552,0.00008710,0.00008886,0.00009082,0.00009298,0.00009538,0.00009803,0.00010095,0.00010417,0.00010772,0.00011163,0.00011596,0.00012075,0.00012605,0.00013193,0.00013848,0.00014577,0.00015394,0.00016310,0.00017342,0.00018507,0.00019820,0.00021280,0.00022837,0.00025139,0.00027422,0.00030205,0.00033989
0.12000000,0.00046486,0.00053193,0.00060657,0.00071036,0.00083899,0.00106052,0.00120149,0.00176529,0.00199675,0.00297091,0.00386589,0.00430946,0.00777523,0.00976834,0.02554721,0.04430307,0.09716083,0.19009827,0.38517938,0.75426148,1.32436281,1.66878053,1.37955012,0.80121991,0.39976281,0.22509086,0.17166912,0.17333281,0.27572720,0.56513553,1.09012073,1.59545301,1.56862791,1.02794097,0.54431067,0.27119868,0.13615808,0.06726009,0.03171835,0.01862580,0.00509328,0.00757103,0.00157788,0.00384020,0.00175066,0.00186525,0.00122901,0.00102575,0.00083674,0.00067587,0.00058786,0.00049721,0.00043804,0.00038604,0.00034480,0.00031107,0.00028243,0.00025863,0.00023818,0.00022068,0.00020553,0.00019234,0.00018079,0.00017062,0.00016163,0.00015365,0.00014654,0.00014018,0.00013449,0.00012938,0.00012478,0.00012065,0.00011692,0.00011356,0.00011054,0.00010782,0.00010537,0.00010319,0.00010123,0.00009949,0.00009796,0.00009662,0.00009546,0.00009447,0.00009364,0.00009297,0.00009246,0.00009209,0.00009187,0.00009179,0.00009186,0.00009207,0.00009242,0.00009292,0.00009357,0.00009437,0.00009533,0.00009646,0.00009776,0.00009924,0.00010091,0.00010279,0.00010488,0.00010721,0.00010980,0.00011266,0.00011582,0.00011931,0.00012316,0.00012742,0.00013212,0.00013731,0.00014307,0.00014946,0.00015655,0.00016447,0.00017331,0.00018322,0.00019436,0.00020692,0.00022108,0.00023684,0.00025388,0.00027705,0.00030512,0.00033640,0.00036906,0.00041437
0.14000000,0.00056107,0.00064659,0.00074841,0.00089211,0.00107853,0.00131704,0.00171031,0.00208730,0.00301706,0.00317740,0.00468797,0.00260827,0.00580205,0.00617647,0.01309689,0.02787233,0.05224441,0.11103457,0.21845422,0.44148551,0.86226967,1.43596469,1.65286794,1.25841847,0.69171093,0.38789136,0.30658483,0.30075066,0.47484783,0.95798383,1.51805648,1.62755255,1.15518541,0.62213975,0.31209939,0.15533940,0.07836488,0.03609940,0.02112743,0.00679006,0.00703025,0.00274229,0.00424679,0.00335159,0.00295051,0.00224314,0.00168174,0.00135083,0.00104286,0.00087227,0.00071910,0.00061542,0.00053184,0.00046601,0.00041397,0.00037080,0.00033551,0.00030580,0.00028071,0.00025930,0.00024086,0.00022489,0.00021095,0.00019873,0.00018795,0.00017841,0.00016993,0.00016237,0.00015561,0.00014955,0.00014411,0.00013923,0.00013483,0.00013087,0.00012730,0.00012410,0.00012122,0.00011865,0.00011635,0.00011431,0.00011251,0.00011093,0.00010956,0.00010840,0.00010743,0.00010664,0.00010602,0.00010558,0.00010532,0.00010521,0.00010528,0.00010551,0.00010591,0.00010648,0.00010722,0.00010814,0.00010925,0.00011055,0.00011205,0.00011376,0.00011569,0.00011787,0.00012030,0.00012300,0.00012601,0.00012933,0.00013301,0.00013708,0.00014158,0.00014655,0.00015206,0.00015815,0.00016491,0.00017242,0.00018079,0.00019014,0.00020060,0.00021237,0.00022561,0.00024052,0.00025715,0.00027529,0.00029871,0.00033017,0.00036075,0.00039808,0.00044079,0.00049590
0.16000000,0.00067180,0.00078192,0.00091991,0.00111140,0.00136633,0.00172541,0.00220293,0.00285896,0.00350420,0.00413113,0.00349054,0.00402875,0.00098750,0.00600097,0.00612050,0.01591766,0.03107254,0.06089727,0.12642146,0.25162900,0.50808638,0.98524358,1.52116652,1.58936368,1.12474522,0.67517279,0.53370942,0.52173946,0.82156458,1.39361891,1.64964226,1.28375087,0.71704371,0.35881764,0.17709556,0.09011586,0.04190234,0.02361747,0.00933834,0.00632297,0.00376768,0.00252624,0.00374679,0.00342019,0.00361233,0.00281846,0.00228486,0.00171585,0.00136577,0.00108743,0.00089519,0.00075174,0.00064178,0.00055798,0.00049074,0.00043704,0.00039297,0.00035645,0.00032583,0.00029986,0.00027766,0.00025851,0.00024190,0.00022738,0.00021463,0.00020338,0.00019341,0.00018455,0.00017664,0.00016957,0.00016323,0.00015754,0.00015243,0.00014784,0.00014371,0.00014000,0.00013668,0.00013370,0.00013104,0.00012869,0.00012660,0.00012478,0.00012320,0.00012185,0.00012073,0.00011981,0.00011910,0.00011858,0.00011826,0.00011813,0.00011819,0.00011844,0.00011889,0.00011952,0.00012036,0.00012140,0.00012265,0.00012412,0.00012582,0.00012776,0.00012996,0.00013243,0.00013520,0.00013829,0.00014172,0.00014552,0.00014974,0.00015440,0.00015957,0.00016528,0.00017162,0.00017865,0.00018647,0.00019517,0.00020489,0.00021577,0.00022799,0.00024174,0.00025722,0.00027450,0.00029346,0.00031715,0.00035032,0.00037878,0.00041614,0.00046375,0.00051966,0.00058792
0.18000000,0.00080375,0.00094755,0.00113487,0.00139208,0.00174143,0.00222598,0.00286497,0.00356575,0.00396686,0.00389933,0.00316624,0.00274402,0.00303334,0.00115384,0.00614566,0.00719512,0.01860186,0.03473877,0.06966466,0.14493706,0.29415625,0.59082845,1.10351561,1.54214708,1.48353748,1.13826567,0.92165614,0.91717771,1.23459983,1.58824617,1.38644918,0.83375982,0.41815009,0.20351451,0.10202536,0.04821329,0.02634428,0.01214875,0.00603271,0.00447877,0.00119666,0.00319026,0.00244569,0.00344044,0.00359509,0.00349625,0.00286995,0.00226158,0.00175391,0.00138161,0.00111588,0.00091954,0.00077564,0.00066514,0.00057964,0.00051172,0.00045687,0.00041195,0.00037461,0.00034324,0.00031660,0.00029379,0.00027409,0.00025698,0.00024201,0.00022886,0.00021724,0.00020694,0.00019778,0.00018961,0.00018230,0.00017575,0.00016988,0.00016461,0.00015988,0.00015564,0.00015183,0.00014843,0.00014540,0.00014271,0.00014034,0.00013826,0.00013645,0.00013491,0.00013362,0.00013257,0.00013175,0.00013116,0.00013078,0.00013062,0.00013067,0.00013094,0.00013143,0.00013213,0.00013306,0.00013421,0.00013561,0.00013725,0.00013916,0.00014134,0.00014381,0.00014659,0.00014971,0.00015319,0.00015706,0.00016136,0.00016612,0.00017141,0.00017728,0.00018378,0.00019100,0.00019903,0.00020798,0.00021797,0.00022916,0.00024171,0.00025584,0.00027173,0.00028949,0.00030907,0.00033301,0.00036684,0.00039477,0.00043458,0.00048093,0.00053785,0.00060920,0.00069513
