# Split-Step soliton collision: S=-10, v1=10, v2=-10
# L=64, N=512, T=1.0, tau=0.01
time,x_0.0000,x_0.5000,x_1.0000,x_1.5000,x_2.0000,x_2.5000,x_3.0000,x_3.5000,x_4.0000,x_4.5000,x_5.0000,x_5.5000,x_6.0000,x_6.5000,x_7.0000,x_7.5000,x_8.0000,x_8.5000,x_9.0000,x_9.5000,x_10.0000,x_10.5000,x_11.0000,x_11.5000,x_12.0000,x_12.5000,x_13.0000,x_13.5000,x_14.0000,x_14.5000,x_15.0000,x_15.5000,x_16.0000,x_16.5000,x_17.0000,x_17.5000,x_18.0000,x_18.5000,x_19.0000,x_19.5000,x_20.0000,x_20.5000,x_21.0000,x_21.5000,x_22.0000,x_22.5000,x_23.0000,x_23.5000,x_24.0000,x_24.5000,x_25.0000,x_25.5000,x_26.0000,x_26.5000,x_27.0000,x_27.5000,x_28.0000,x_28.5000,x_29.0000,x_29.5000,x_30.0000,x_30.5000,x_31.0000,x_31.5000,x_32.0000,x_32.5000,x_33.0000,x_33.5000,x_34.0000,x_34.5000,x_35.0000,x_35.5000,x_36.0000,x_36.5000,x_37.0000,x_37.5000,x_38.0000,x_38.5000,x_39.0000,x_39.5000,x_40.0000,x_40.5000,x_41.0000,x_41.5000,x_42.0000,x_42.5000,x_43.0000,x_43.5000,x_44.0000,x_44.5000,x_45.0000,x_45.5000,x_46.0000,x_46.5000,x_47.0000,x_47.5000,x_48.0000,x_48.5000,x_49.0000,x_49.5000,x_50.0000,x_50.5000,x_51.0000,x_51.5000,x_52.0000,x_52.5000,x_53.0000,x_53.5000,x_54.0000,x_54.5000,x_55.0000,x_55.5000,x_56.0000,x_56.5000,x_57.0000,x_57.5000,x_58.0000,x_58.5000,x_59.0000,x_59.5000,x_60.0000,x_60.5000,x_61.0000,x_61.5000,x_62.0000,x_62.5000,x_63.0000,x_63.5000
0.00000000,0.00003452,0.00007001,0.00014199,0.00028797,0.00058403,0.00118447,0.00240222,0.00487174,0.00987848,0.02001837,0.04046369,0.08095123,0.15549690,0.25902715,0.30282143,0.22396024,0.12570963,0.06413839,0.03189455,0.01577015,0.00774151,0.00390137,0.00179879,0.00101711,0.00087828,0.00100195,0.00251395,0.00482561,0.00988960,0.02002043,0.04045932,0.08095433,0.15549539,0.25902774,0.30282098,0.22396116,0.12570795,0.06414020,0.03189550,0.01575936,0.00777438,0.00383378,0.00189037,0.00093209,0.00045958,0.00022661,0.00011173,0.00005509,0.00002716,0.00001339,0.00000660,0.00000326,0.00000161,0.00000079,0.00000039,0.00000019,0.00000009,0.00000005,0.00000002,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00001066,0.00005500,0.00010807,0.00021744,0.00043909,0.00089124,0.00181104,0.00367443,0.00744655,0.01508880,0.03054824,0.06150167,0.12091579,0.21725943,0.30170518,0.26432314,0.16143344,0.08441836,0.04223694,0.02091065,0.01026813,0.00517745,0.00238904,0.00135009,0.00116553,0.00133117,0.00333494,0.00639991,0.01311999,0.02654945,0.05351353,0.10598889,0.19596930,0.29072854,0.28066325,0.18155709,0.09660332,0.04856457,0.02406764,0.01188506,0.00586082,0.00288743,0.00142305,0.00070289,0.00034762,0.00017111,0.00008348,0.00004091,0.00002071,0.00001069,0.00000514,0.00000206,0.00000093,0.00000084,0.00000066,0.00000039,0.00000025,0.00000026,0.00000028,0.00000026,0.00000024,0.00000022,0.00000021,0.00000020,0.00000019,0.00000019,0.00000018,0.00000017,0.00000017,0.00000016,0.00000015,0.00000015,0.00000015,0.00000014,0.00000014,0.00000014,0.00000013,0.00000013,0.00000013,0.00000013,0.00000013,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000013,0.00000013,0.00000013,0.00000013,0.00000013,0.00000014,0.00000014,0.00000014,0.00000015,0.00000015,0.00000016,0.00000016,0.00000017,0.00000017,0.00000018,0.00000019,0.00000020,0.00000021,0.00000022,0.00000023,0.00000024,0.00000026,0.00000027,0.00000029,0.00000032,0.00000034,0.00000037,0.00000041,0.00000045,0.00000052,0.00000070,0.00000301
0.04000000,0.00000637,0.00003324,0.00007902,0.00016084,0.00033016,0.00067518,0.00136855,0.00276620,0.00560332,0.01137316,0.02307025,0.04659730,0.09263548,0.17566579,0.27438979,0.29422768,0.20298557,0.11046879,0.05583713,0.02772718,0.01363246,0.00687300,0.00316596,0.00178675,0.00154272,0.00176481,0.00443050,0.00849625,0.01739638,0.03516957,0.07063651,0.13762851,0.23850586,0.30830860,0.24477927,0.14279507,0.07376787,0.03670340,0.01813406,0.00895253,0.00442153,0.00218119,0.00107241,0.00052657,0.00026044,0.00013033,0.00006473,0.00003080,0.00001420,0.00000742,0.00000461,0.00000257,0.00000094,0.00000028,0.00000066,0.00000071,0.00000061,0.00000052,0.00000048,0.00000047,0.00000044,0.00000042,0.00000040,0.00000038,0.00000036,0.00000035,0.00000034,0.00000032,0.00000031,0.00000030,0.00000029,0.00000029,0.00000028,0.00000027,0.00000027,0.00000026,0.00000026,0.00000025,0.00000025,0.00000025,0.00000024,0.00000024,0.00000024,0.00000024,0.00000024,0.00000024,0.00000023,0.00000023,0.00000024,0.00000024,0.00000024,0.00000024,0.00000024,0.00000024,0.00000024,0.00000025,0.00000025,0.00000026,0.00000026,0.00000027,0.00000027,0.00000028,0.00000028,0.00000029,0.00000030,0.00000031,0.00000032,0.00000033,0.00000034,0.00000036,0.00000037,0.00000039,0.00000041,0.00000043,0.00000045,0.00000048,0.00000051,0.00000055,0.00000059,0.00000063,0.00000069,0.00000076,0.00000084,0.00000095,0.00000113,0.00000148,0.00000244,0.00000493
0.06000000,0.00000524,0.00001804,0.00006406,0.00012229,0.00025134,0.00051020,0.00102905,0.00208011,0.00422265,0.00858556,0.01742496,0.03507842,0.07081451,0.13773991,0.23734354,0.31061851,0.24308140,0.14322681,0.07370479,0.03675056,0.01807850,0.00911269,0.00419994,0.00237607,0.00205234,0.00233954,0.00587217,0.01127098,0.02308064,0.04657667,0.09291432,0.17622009,0.27311642,0.29415633,0.20367559,0.11080165,0.05577353,0.02778896,0.01367116,0.00674052,0.00332835,0.00164381,0.00081037,0.00039830,0.00019573,0.00009686,0.00004838,0.00002400,0.00001148,0.00000534,0.00000273,0.00000165,0.00000094,0.00000037,0.00000008,0.00000021,0.00000024,0.00000022,0.00000019,0.00000018,0.00000017,0.00000017,0.00000016,0.00000015,0.00000015,0.00000014,0.00000014,0.00000014,0.00000013,0.00000013,0.00000013,0.00000013,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000012,0.00000013,0.00000013,0.00000013,0.00000013,0.00000013,0.00000014,0.00000014,0.00000014,0.00000015,0.00000015,0.00000016,0.00000016,0.00000017,0.00000017,0.00000018,0.00000019,0.00000020,0.00000021,0.00000022,0.00000023,0.00000024,0.00000025,0.00000027,0.00000029,0.00000031,0.00000033,0.00000036,0.00000040,0.00000044,0.00000049,0.00000056,0.00000065,0.00000081,0.00000115,0.00000207,0.00000355,0.00000399
0.08000000,0.00000249,0.00001437,0.00003378,0.00009316,0.00019603,0.00038919,0.00076849,0.00155379,0.00318858,0.00652046,0.01307031,0.02649180,0.05375834,0.10610476,0.19814790,0.28739411,0.27680158,0.18344204,0.09704301,0.04872016,0.02398796,0.01207647,0.00556054,0.00315624,0.00272742,0.00309624,0.00779085,0.01496444,0.03060551,0.06156031,0.12136058,0.21708943,0.30418852,0.26020694,0.16285867,0.08509293,0.04212608,0.02092219,0.01037219,0.00506122,0.00249676,0.00124125,0.00061663,0.00030154,0.00014458,0.00007072,0.00003743,0.00002023,0.00000937,0.00000275,0.00000152,0.00000226,0.00000196,0.00000139,0.00000113,0.00000111,0.00000110,0.00000104,0.00000097,0.00000091,0.00000087,0.00000084,0.00000080,0.00000077,0.00000075,0.00000072,0.00000070,0.00000068,0.00000066,0.00000065,0.00000063,0.00000062,0.00000061,0.00000060,0.00000059,0.00000058,0.00000057,0.00000057,0.00000056,0.00000056,0.00000055,0.00000055,0.00000055,0.00000055,0.00000055,0.00000055,0.00000055,0.00000055,0.00000056,0.00000056,0.00000057,0.00000057,0.00000058,0.00000059,0.00000060,0.00000060,0.00000062,0.00000063,0.00000064,0.00000066,0.00000067,0.00000069,0.00000071,0.00000073,0.00000075,0.00000078,0.00000081,0.00000084,0.00000087,0.00000091,0.00000095,0.00000100,0.00000105,0.00000110,0.00000117,0.00000124,0.00000132,0.00000141,0.00000152,0.00000164,0.00000178,0.00000195,0.00000217,0.00000244,0.00000224,0.00000252,0.00000070,0.00000499
0.10000000,0.00002143,0.00002482,0.00002453,0.00005271,0.00013881,0.00030747,0.00059316,0.00116619,0.00241047,0.00486379,0.00975715,0.02041024,0.03996352,0.08230253,0.15666986,0.26045211,0.30738502,0.22160441,0.12712459,0.06443757,0.03189591,0.01608594,0.00728852,0.00407174,0.00354248,0.00390266,0.01045160,0.02039703,0.04084356,0.08012799,0.15574586,0.25534452,0.17016437,0.22596839,0.12563599,0.06251257,0.03289115,0.01596682,0.00787755,0.00360730,0.00175088,0.00104207,0.00059440,0.00024801,0.00002631,0.00007525,0.00009403,0.00007582,0.00005539,0.00004707,0.00004467,0.00004153,0.00003752,0.00003398,0.00003121,0.00002891,0.00002685,0.00002499,0.00002335,0.00002190,0.00002061,0.00001945,0.00001840,0.00001746,0.00001661,0.00001584,0.00001514,0.00001450,0.00001392,0.00001339,0.00001291,0.00001246,0.00001205,0.00001168,0.00001134,0.00001102,0.00001073,0.00001047,0.00001022,0.00001000,0.00000979,0.00000961,0.00000944,0.00000928,0.00000914,0.00000902,0.00000891,0.00000881,0.00000872,0.00000864,0.00000858,0.00000853,0.00000848,0.00000845,0.00000843,0.00000842,0.00000842,0.00000843,0.00000845,0.00000848,0.00000852,0.00000857,0.00000863,0.00000870,0.00000879,0.00000889,0.00000900,0.00000912,0.00000925,0.00000940,0.00000957,0.00000975,0.00000995,0.00001017,0.00001040,0.00001066,0.00001093,0.00001123,0.00001155,0.00001188,0.00001222,0.00001254,0.00001273,0.00001305,0.00001710,0.00001314,0.00001404,0.00001984
0.12000000,0.00006330,0.00006740,0.00005835,0.00005952,0.00016582,0.00029597,0.00044540,0.00082575,0.00176075,0.00353334,0.00806416,0.01444103,0.03139655,0.05951563,0.13067775,0.22922804,0.31478471,0.25025455,0.16444473,0.08496585,0.04242906,0.02111983,0.00932747,0.00567141,0.00519080,0.00456170,0.01300789,0.02745647,0.05668467,0.10745040,0.18094416,0.26655266,0.30739603,0.20575895,0.09810417,0.04412663,0.02216781,0.01399239,0.00651909,0.00281695,0.00075445,0.00076184,0.00075905,0.00050293,0.00027892,0.00022143,0.00022584,0.00020813,0.00017885,0.00015528,0.00013962,0.00012736,0.00011616,0.00010611,0.00009747,0.00009007,0.00008360,0.00007788,0.00007281,0.00006831,0.00006429,0.00006069,0.00005745,0.00005453,0.00005190,0.00004951,0.00004734,0.00004536,0.00004356,0.00004191,0.00004041,0.00003903,0.00003777,0.00003661,0.00003555,0.00003457,0.00003368,0.00003286,0.00003211,0.00003142,0.00003080,0.00003022,0.00002970,0.00002923,0.00002881,0.00002843,0.00002809,0.00002779,0.00002753,0.00002731,0.00002712,0.00002697,0.00002685,0.00002677,0.00002671,0.00002670,0.00002671,0.00002676,0.00002684,0.00002696,0.00002711,0.00002730,0.00002752,0.00002778,0.00002808,0.00002842,0.00002880,0.00002923,0.00002970,0.00003022,0.00003080,0.00003144,0.00003213,0.00003289,0.00003372,0.00003463,0.00003562,0.00003669,0.00003786,0.00003911,0.00004043,0.00004178,0.00004348,0.00004825,0.00004660,0.00005010,0.00005087,0.00005902
0.14000000,0.00010373,0.00010978,0.00010376,0.00012675,0.00021002,0.00025391,0.00026317,0.00055658,0.00117712,0.00347305,0.00516065,0.01205991,0.02058744,0.05217274,0.08738248,0.18662179,0.31118050,0.29910800,0.20442326,0.11494421,0.05631790,0.02756815,0.01252868,0.00825123,0.00762548,0.00663279,0.01578668,0.03398206,0.07656377,0.16083042,0.30216680,0.25666587,0.29821837,0.20525306,0.13539222,0.03499499,0.01270174,0.00904579,0.00727912,0.00297135,0.00092239,0.00048216,0.00083871,0.00075457,0.00055316,0.00042320,0.00037308,0.00033932,0.00030100,0.00026508,0.00023661,0.00021414,0.00019507,0.00017837,0.00016382,0.00015123,0.00014026,0.00013060,0.00012205,0.00011445,0.00010768,0.00010162,0.00009618,0.00009127,0.00008684,0.00008282,0.00007918,0.00007586,0.00007283,0.00007007,0.00006755,0.00006524,0.00006312,0.00006118,0.00005940,0.00005777,0.00005627,0.00005490,0.00005364,0.00005249,0.00005144,0.00005049,0.00004962,0.00004883,0.00004812,0.00004748,0.00004691,0.00004641,0.00004598,0.00004561,0.00004529,0.00004504,0.00004485,0.00004471,0.00004462,0.00004459,0.00004462,0.00004471,0.00004485,0.00004504,0.00004530,0.00004561,0.00004598,0.00004642,0.00004693,0.00004750,0.00004814,0.00004886,0.00004966,0.00005054,0.00005152,0.00005258,0.00005376,0.00005504,0.00005645,0.00005798,0.00005965,0.00006147,0.00006344,0.00006556,0.00006781,0.00007055,0.00007591,0.00007666,0.00008295,0.00008661,0.00008720,0.00009709
0.16000000,0.00013736,0.00014507,0.00014198,0.00017339,0.00020759,0.00016449,0.00010317,0.00030763,0.00168480,0.00197650,0.00477409,0.00663531,0.02084284,0.02697350,0.06235462,0.16703700,0.22184779,0.31543975,0.22903305,0.14939766,0.07256156,0.03644434,0.01760568,0.01118606,0.00996146,0.01108354,0.02190047,0.03953680,0.09097260,0.16710048,0.22403651,0.24982022,0.26020234,0.15901176,0.10035484,0.08425032,0.01426442,0.00318836,0.00602711,0.00475513,0.00187154,0.00094559,0.00097001,0.00096315,0.00080448,0.00064202,0.00053912,0.00047517,0.00042226,0.00037436,0.00033373,0.00030056,0.00027293,0.00024923,0.00022866,0.00021081,0.00019525,0.00018160,0.00016954,0.00015885,0.00014933,0.00014081,0.00013317,0.00012629,0.00012008,0.00011446,0.00010936,0.00010473,0.00010050,0.00009665,0.00009312,0.00008990,0.00008695,0.00008424,0.00008176,0.00007948,0.00007739,0.00007548,0.00007373,0.00007212,0.00007065,0.00006932,0.00006810,0.00006700,0.00006600,0.00006511,0.00006431,0.00006361,0.00006299,0.00006246,0.00006202,0.00006165,0.00006137,0.00006116,0.00006102,0.00006097,0.00006099,0.00006108,0.00006125,0.00006150,0.00006183,0.00006224,0.00006273,0.00006330,0.00006396,0.00006472,0.00006557,0.00006653,0.00006759,0.00006876,0.00007005,0.00007148,0.00007304,0.00007474,0.00007661,0.00007864,0.00008086,0.00008326,0.00008586,0.00008864,0.00009196,0.00009756,0.00010021,0.00010616,0.00011018,0.00011651,0.00011824,0.00012918
0.18000000,0.00017862,0.00018907,0.00018950,0.00021952,0.00020199,0.00010697,0.00019300,0.00102437,0.00113055,0.00186176,0.00233936,0.00888902,0.01035412,0.03272828,0.04811397,0.08955655,0.17748287,0.28624706,0.26785564,0.17752740,0.09742244,0.04941415,0.02451196,0.01360234,0.01110144,0.01714550,0.03553596,0.05356244,0.10309666,0.25645680,0.24513325,0.23803067,0.17607320,0.10593030,0.05890429,0.05744346,0.05755101,0.01222194,0.00494529,0.00545688,0.00381653,0.00179021,0.00129688,0.00120535,0.00105752,0.00087899,0.00073376,0.00063221,0.00055631,0.00049308,0.00043934,0.00039451,0.00035713,0.00032544,0.00029818,0.00027455,0.00025399,0.00023598,0.00022012,0.00020608,0.00019360,0.00018245,0.00017246,0.00016348,0.00015538,0.00014806,0.00014142,0.00013538,0.00012989,0.00012488,0.00012031,0.00011613,0.00011230,0.00010879,0.00010557,0.00010262,0.00009992,0.00009745,0.00009518,0.00009310,0.00009121,0.00008948,0.00008791,0.00008649,0.00008521,0.00008406,0.00008303,0.00008213,0.00008134,0.00008066,0.00008009,0.00007963,0.00007926,0.00007900,0.00007884,0.00007877,0.00007881,0.00007894,0.00007918,0.00007951,0.00007995,0.00008049,0.00008114,0.00008190,0.00008277,0.00008377,0.00008489,0.00008615,0.00008755,0.00008909,0.00009080,0.00009267,0.00009472,0.00009697,0.00009943,0.00010211,0.00010502,0.00010817,0.00011157,0.00011552,0.00012155,0.00012615,0.00013075,0.00013456,0.00014108,0.00015095,0.00015579,0.00016832
