# Figure 10: Energy limit and balance time vs major radius
# Columns: R0[m], E_max[MeV], t_blc[s]
R0,E_max,t_blc
5.00000000e-01,4.28995781e+01,7.64952991e-01
6.15384615e-01,4.76482431e+01,8.52970594e-01
7.30769231e-01,5.19689685e+01,9.32986597e-01
8.46153846e-01,5.59600677e+01,1.00660132e+00
9.61538462e-01,5.96871385e+01,1.07541508e+00
1.07692308e+00,6.31965368e+01,1.14102821e+00
1.19230769e+00,6.65224587e+01,1.20184037e+00
1.30769231e+00,6.96909863e+01,1.26105221e+00
1.42307692e+00,7.27225516e+01,1.31706341e+00
1.53846154e+00,7.56335150e+01,1.37147429e+00
1.65384615e+00,7.84372176e+01,1.42268454e+00
1.76923077e+00,8.11452237e+01,1.47229446e+00
1.88461538e+00,8.37662899e+01,1.52190438e+00
2.00000000e+00,8.63082332e+01,1.56831366e+00
2.11538462e+00,8.87778151e+01,1.61472294e+00
2.23076923e+00,9.11808853e+01,1.65793159e+00
2.34615385e+00,9.35225449e+01,1.70274055e+00
2.46153846e+00,9.58072744e+01,1.74434887e+00
2.57692308e+00,9.80390341e+01,1.78595719e+00
2.69230769e+00,1.00221345e+02,1.82596519e+00
2.80769231e+00,1.02357355e+02,1.86597319e+00
2.92307692e+00,1.04449890e+02,1.90438088e+00
3.03846154e+00,1.06501501e+02,1.94278856e+00
3.15384615e+00,1.08514496e+02,1.97959592e+00
3.26923077e+00,1.10490977e+02,2.01640328e+00
3.38461538e+00,1.12432859e+02,2.05161032e+00
3.50000000e+00,1.14341895e+02,2.08841768e+00
3.61538462e+00,1.16219697e+02,2.12202440e+00
3.73076923e+00,1.18067746e+02,2.15723145e+00
3.84615385e+00,1.19887410e+02,2.19083817e+00
3.96153846e+00,1.21679957e+02,2.22284457e+00
4.07692308e+00,1.23446560e+02,2.25645129e+00
4.19230769e+00,1.25188311e+02,2.28845769e+00
4.30769231e+00,1.26906227e+02,2.32046409e+00
4.42307692e+00,1.28601256e+02,2.35247049e+00
4.53846154e+00,1.30274285e+02,2.38287658e+00
4.65384615e+00,1.31926146e+02,2.41328266e+00
4.76923077e+00,1.33557617e+02,2.44368874e+00
4.88461538e+00,1.35169431e+02,2.47409482e+00
5.00000000e+00,1.36762275e+02,2.50290058e+00
