# Figure 12: Energy limit and balance time vs safety factor
# Columns: q, E_max[MeV], t_blc[s]
q,E_max,t_blc
5.00000000e-01,7.84927436e+01,1.42428486e+00
6.41025641e-01,7.91374409e+01,1.43548710e+00
7.82051282e-01,7.93537044e+01,1.44028806e+00
9.23076923e-01,7.94413752e+01,1.44188838e+00
1.06410256e+00,7.94821115e+01,1.44188838e+00
1.20512821e+00,7.95030602e+01,1.44188838e+00
1.34615385e+00,7.95147068e+01,1.44188838e+00
1.48717949e+00,7.95215938e+01,1.44348870e+00
1.62820513e+00,7.95258751e+01,1.44348870e+00
1.76923077e+00,7.95286488e+01,1.44348870e+00
1.91025641e+00,7.95305093e+01,1.44348870e+00
2.05128205e+00,7.95317947e+01,1.44348870e+00
2.19230769e+00,7.95327057e+01,1.44348870e+00
2.33333333e+00,7.95333658e+01,1.44348870e+00
2.47435897e+00,7.95338536e+01,1.44348870e+00
2.61538462e+00,7.95342203e+01,1.44348870e+00
2.75641026e+00,7.95345003e+01,1.44348870e+00
2.89743590e+00,7.95347170e+01,1.44348870e+00
3.03846154e+00,7.95348869e+01,1.44348870e+00
3.17948718e+00,7.95350215e+01,1.44348870e+00
3.32051282e+00,7.95351294e+01,1.44348870e+00
3.46153846e+00,7.95352166e+01,1.44348870e+00
3.60256410e+00,7.95352878e+01,1.44348870e+00
3.74358974e+00,7.95353463e+01,1.44348870e+00
3.88461538e+00,7.95353947e+01,1.44348870e+00
4.02564103e+00,7.95354351e+01,1.44348870e+00
4.16666667e+00,7.95354690e+01,1.44348870e+00
4.30769231e+00,7.95354976e+01,1.44348870e+00
4.44871795e+00,7.95355219e+01,1.44348870e+00
4.58974359e+00,7.95355426e+01,1.44348870e+00
4.73076923e+00,7.95355604e+01,1.44348870e+00
4.87179487e+00,7.95355757e+01,1.44348870e+00
5.01282051e+00,7.95355890e+01,1.44348870e+00
5.15384615e+00,7.95356005e+01,1.44348870e+00
5.29487179e+00,7.95356105e+01,1.44348870e+00
5.43589744e+00,7.95356193e+01,1.44348870e+00
5.57692308e+00,7.95356271e+01,1.44348870e+00
5.71794872e+00,7.95356339e+01,1.44348870e+00
5.85897436e+00,7.95356399e+01,1.44348870e+00
6.00000000e+00,7.95356452e+01,1.44348870e+00
