# Figure 4: Momentum evolution (relaxation equations)
# Columns: time[s], p_parallel[m0c], p_perpendicular[m0c], gamma, energy_MeV
time,p_parallel,p_perpendicular,gamma,energy_MeV
0.00000000e+00,5.00000000e+00,1.00000000e+00,5.19615242e+00,2.14422948e+00
3.50035004e-04,5.04080041e+00,9.99945972e-01,5.23541409e+00,2.16429215e+00
7.00070007e-04,5.08160083e+00,9.99892387e-01,5.27469921e+00,2.18436681e+00
1.05010501e-03,5.12240128e+00,9.99839238e-01,5.31400728e+00,2.20445319e+00
1.40014001e-03,5.16320175e+00,9.99786517e-01,5.35333778e+00,2.22455103e+00
1.75017502e-03,5.20400224e+00,9.99734217e-01,5.39269022e+00,2.24466009e+00
2.10021002e-03,5.24480275e+00,9.99682333e-01,5.43206412e+00,2.26478011e+00
2.45024502e-03,5.28560328e+00,9.99630858e-01,5.47145903e+00,2.28491087e+00
2.80028003e-03,5.32640383e+00,9.99579785e-01,5.51087448e+00,2.30505212e+00
3.15031503e-03,5.36720440e+00,9.99529108e-01,5.55031004e+00,2.32520365e+00
3.50035004e-03,5.40800500e+00,9.99478821e-01,5.58976529e+00,2.34536524e+00
3.85038504e-03,5.44880561e+00,9.99428919e-01,5.62923980e+00,2.36553668e+00
4.20042004e-03,5.48960625e+00,9.99379395e-01,5.66873319e+00,2.38571776e+00
4.55045505e-03,5.53040690e+00,9.99330244e-01,5.70824504e+00,2.40590827e+00
4.90049005e-03,5.57120758e+00,9.99281460e-01,5.74777499e+00,2.42610803e+00
5.25052505e-03,5.61200828e+00,9.99233039e-01,5.78732266e+00,2.44631685e+00
5.60056006e-03,5.65280899e+00,9.99184974e-01,5.82688769e+00,2.46653454e+00
5.95059506e-03,5.69360973e+00,9.99137261e-01,5.86646972e+00,2.48676092e+00
6.30063006e-03,5.73441049e+00,9.99089894e-01,5.90606843e+00,2.50699581e+00
6.65066507e-03,5.77521126e+00,9.99042868e-01,5.94568346e+00,2.52723905e+00
7.00070007e-03,5.81601206e+00,9.98996180e-01,5.98531450e+00,2.54749047e+00
7.35073507e-03,5.85681288e+00,9.98949823e-01,6.02496123e+00,2.56774991e+00
7.70077008e-03,5.89761371e+00,9.98903793e-01,6.06462334e+00,2.58801721e+00
