# Figure 9: Energy limit and balance time vs E_l for different B0
# Columns: E_l,E_max_B1.5,t_blc_B1.5,E_max_B2.0,t_blc_B2.0,E_max_B3.0,t_blc_B3.0,E_max_B5.0,t_blc_B5.0
5.00000000e-02,5.59586909e+01,4.04400880e+00,5.59339952e+01,4.08561712e+00,5.58744833e+01,4.18483697e+00,5.57541837e+01,4.38967794e+00
1.76923077e-01,7.71153181e+01,1.57631526e+00,7.71153057e+01,1.58271654e+00,7.71152725e+01,1.59711942e+00,7.71151844e+01,1.63872775e+00
3.03846154e-01,8.83527675e+01,1.05301060e+00,8.83527675e+01,1.05461092e+00,8.83527674e+01,1.06101220e+00,8.83527671e+01,1.07861572e+00
4.30769231e-01,9.64554714e+01,8.11362272e-01,9.64554714e+01,8.12962593e-01,9.64554714e+01,8.16163233e-01,9.64554714e+01,8.25765153e-01
5.57692308e-01,1.02921861e+02,6.68933787e-01,1.02921861e+02,6.70534107e-01,1.02921861e+02,6.72134427e-01,1.02921861e+02,6.78535707e-01
6.84615385e-01,1.08362241e+02,5.74514903e-01,1.08362241e+02,5.74514903e-01,1.08362241e+02,5.76115223e-01,1.08362241e+02,5.80916183e-01
8.11538462e-01,1.13091129e+02,5.05701140e-01,1.13091129e+02,5.07301460e-01,1.13091129e+02,5.07301460e-01,1.13091129e+02,5.10502100e-01
9.38461538e-01,1.17293826e+02,4.54490898e-01,1.17293826e+02,4.54490898e-01,1.17293826e+02,4.56091218e-01,1.17293826e+02,4.57691538e-01
1.06538462e+00,1.21089506e+02,4.12882577e-01,1.21089506e+02,4.12882577e-01,1.21089506e+02,4.14482897e-01,1.21089506e+02,4.16083217e-01
1.19230769e+00,1.24559736e+02,3.80876175e-01,1.24559736e+02,3.80876175e-01,1.24559736e+02,3.80876175e-01,1.24559736e+02,3.82476495e-01
1.31923077e+00,1.27763012e+02,3.52070414e-01,1.27763012e+02,3.52070414e-01,1.27763012e+02,3.53670734e-01,1.27763012e+02,3.55271054e-01
1.44615385e+00,1.30742832e+02,3.29665933e-01,1.30742832e+02,3.29665933e-01,1.30742832e+02,3.29665933e-01,1.30742832e+02,3.31266253e-01
1.57307692e+00,1.33532499e+02,3.08861772e-01,1.33532499e+02,3.08861772e-01,1.33532499e+02,3.10462092e-01,1.33532499e+02,3.10462092e-01
1.70000000e+00,1.36158123e+02,2.91258252e-01,1.36158123e+02,2.91258252e-01,1.36158123e+02,2.92858572e-01,1.36158123e+02,2.92858572e-01
1.82692308e+00,1.38640586e+02,2.76855371e-01,1.38640586e+02,2.76855371e-01,1.38640586e+02,2.76855371e-01,1.38640586e+02,2.78455691e-01
1.95384615e+00,1.40996877e+02,2.62452490e-01,1.40996877e+02,2.62452490e-01,1.40996877e+02,2.64052811e-01,1.40996877e+02,2.64052811e-01
2.08076923e+00,1.43241013e+02,2.51250250e-01,1.43241013e+02,2.51250250e-01,1.43241013e+02,2.51250250e-01,1.43241013e+02,2.52850570e-01
2.20769231e+00,1.45384714e+02,2.40048010e-01,1.45384714e+02,2.40048010e-01,1.45384714e+02,2.40048010e-01,1.45384714e+02,2.41648330e-01
2.33461538e+00,1.47437879e+02,2.30446089e-01,1.47437879e+02,2.30446089e-01,1.47437879e+02,2.30446089e-01,1.47437879e+02,2.32046409e-01
2.46153846e+00,1.49408956e+02,2.20844169e-01,1.49408956e+02,2.22444489e-01,1.49408956e+02,2.22444489e-01,1.49408956e+02,2.22444489e-01
2.58846154e+00,1.51305220e+02,2.12842569e-01,1.51305220e+02,2.12842569e-01,1.51305220e+02,2.14442889e-01,1.51305220e+02,2.14442889e-01
2.71538462e+00,1.53132976e+02,2.06441288e-01,1.53132976e+02,2.06441288e-01,1.53132976e+02,2.06441288e-01,1.53132976e+02,2.06441288e-01
2.84230769e+00,1.54897737e+02,1.98439688e-01,1.54897737e+02,1.98439688e-01,1.54897737e+02,2.00040008e-01,1.54897737e+02,2.00040008e-01
2.96923077e+00,1.56604347e+02,1.92038408e-01,1.56604347e+02,1.92038408e-01,1.56604347e+02,1.93638728e-01,1.56604347e+02,1.93638728e-01
3.09615385e+00,1.58257090e+02,1.87237447e-01,1.58257090e+02,1.87237447e-01,1.58257090e+02,1.87237447e-01,1.58257090e+02,1.87237447e-01
3.22307692e+00,1.59859772e+02,1.80836167e-01,1.59859772e+02,1.80836167e-01,1.59859772e+02,1.80836167e-01,1.59859772e+02,1.82436487e-01
3.35000000e+00,1.61415796e+02,1.76035207e-01,1.61415796e+02,1.76035207e-01,1.61415796e+02,1.76035207e-01,1.61415796e+02,1.76035207e-01
3.47692308e+00,1.62928213e+02,1.71234247e-01,1.62928213e+02,1.71234247e-01,1.62928213e+02,1.71234247e-01,1.62928213e+02,1.71234247e-01
3.60384615e+00,1.64399771e+02,1.66433287e-01,1.64399771e+02,1.66433287e-01,1.64399771e+02,1.66433287e-01,1.64399771e+02,1.68033607e-01
3.73076923e+00,1.65832958e+02,1.63232647e-01,1.65832958e+02,1.63232647e-01,1.65832958e+02,1.63232647e-01,1.65832958e+02,1.63232647e-01
3.85769231e+00,1.67230030e+02,1.58431686e-01,1.67230030e+02,1.58431686e-01,1.67230030e+02,1.58431686e-01,1.67230030e+02,1.58431686e-01
3.98461538e+00,1.68593042e+02,1.55231046e-01,1.68593042e+02,1.55231046e-01,1.68593042e+02,1.55231046e-01,1.68593042e+02,1.55231046e-01
