# k,abs_F_direct,abs_F_parallel,abs_error
0.00000000e+00,2.07026611e+00,2.07026611e+00,0.00000000e+00
1.00000000e+00,8.30869683e+00,8.30869683e+00,3.66205344e-15
2.00000000e+00,7.27467547e+00,7.27467547e+00,0.00000000e+00
3.00000000e+00,9.76075288e+00,9.76075288e+00,5.61733355e-15
4.00000000e+00,1.17528866e+01,1.17528866e+01,6.40474567e-15
5.00000000e+00,3.84333457e+01,3.84333457e+01,7.94410929e-15
6.00000000e+00,1.24664802e+01,1.24664802e+01,3.55271368e-15
7.00000000e+00,3.50755288e+00,3.50755288e+00,1.98602732e-15
8.00000000e+00,7.52012990e+00,7.52012990e+00,2.80866677e-15
9.00000000e+00,1.43233248e+01,1.43233248e+01,9.27285494e-15
1.00000000e+01,2.34068217e+01,2.34068217e+01,8.88178420e-15
1.10000000e+01,2.45951204e+01,2.45951204e+01,1.77635684e-15
1.20000000e+01,1.53359575e+01,1.53359575e+01,4.21884749e-15
1.30000000e+01,1.39281077e+01,1.39281077e+01,4.72073305e-15
1.40000000e+01,2.62803859e+01,2.62803859e+01,4.44089210e-15
1.50000000e+01,1.53785693e+01,1.53785693e+01,3.97205465e-15
1.60000000e+01,1.55447838e+01,1.55447838e+01,1.77635684e-15
1.70000000e+01,2.97439187e+01,2.97439187e+01,7.94410929e-15
1.80000000e+01,1.96735596e+01,1.96735596e+01,7.32410688e-15
1.90000000e+01,1.60660705e+01,1.60660705e+01,3.55271368e-15
2.00000000e+01,1.81312469e+01,1.81312469e+01,6.40474567e-15
2.10000000e+01,2.78920783e+01,2.78920783e+01,3.55271368e-15
2.20000000e+01,3.96949152e+01,3.96949152e+01,1.58882186e-14
2.30000000e+01,2.34746697e+01,2.34746697e+01,3.55964581e-15
2.40000000e+01,3.33195317e+01,3.33195317e+01,7.32410688e-15
2.50000000e+01,1.72501631e+01,1.72501631e+01,1.06581410e-14
2.60000000e+01,1.16127984e+01,1.16127984e+01,5.61733355e-15
2.70000000e+01,5.21871593e+00,5.21871593e+00,1.77635684e-15
2.80000000e+01,1.80429234e+01,1.80429234e+01,7.94410929e-15
2.90000000e+01,1.16765132e+01,1.16765132e+01,1.07410850e-14
3.00000000e+01,2.97856465e+01,2.97856465e+01,8.88178420e-15
3.10000000e+01,2.17976035e+01,2.17976035e+01,7.94410929e-15
3.20000000e+01,3.19441460e+01,3.19441460e+01,0.00000000e+00
3.30000000e+01,1.23038181e+01,1.23038181e+01,4.44089210e-15
3.40000000e+01,1.72858645e+01,1.72858645e+01,7.94410929e-15
3.50000000e+01,3.17004631e+01,3.17004631e+01,3.55271368e-15
