# K,N,SU_shared_P2,SU_shared_P4,SU_MPI_P2,SU_MPI_P4
5.50000000e+00,2.04800000e+03,2.03855470e+00,4.23240530e+00,2.07290265e+00,4.16802106e+00
5.52010050e+00,2.10587050e+03,2.04010463e+00,4.23741572e+00,2.07623559e+00,4.17499028e+00
5.54020101e+00,2.16537625e+03,2.04161631e+00,4.24236989e+00,2.07955062e+00,4.18192763e+00
5.56030151e+00,2.22656346e+03,2.04308962e+00,4.24726765e+00,2.08284777e+00,4.18883322e+00
5.58040201e+00,2.28947964e+03,2.04452440e+00,4.25210887e+00,2.08612705e+00,4.19570713e+00
5.60050251e+00,2.35417365e+03,2.04592050e+00,4.25689340e+00,2.08938851e+00,4.20254949e+00
5.62060302e+00,2.42069572e+03,2.04727777e+00,4.26162108e+00,2.09263215e+00,4.20936037e+00
5.64070352e+00,2.48909751e+03,2.04859607e+00,4.26629176e+00,2.09585801e+00,4.21613989e+00
5.66080402e+00,2.55943214e+03,2.04987523e+00,4.27090528e+00,2.09906610e+00,4.22288814e+00
5.68090452e+00,2.63175422e+03,2.05111510e+00,4.27546147e+00,2.10225645e+00,4.22960521e+00
5.70100503e+00,2.70611991e+03,2.05231553e+00,4.27996016e+00,2.10542907e+00,4.23629119e+00
5.72110553e+00,2.78258695e+03,2.05347635e+00,4.28440118e+00,2.10858398e+00,4.24294618e+00
5.74120603e+00,2.86121473e+03,2.05459739e+00,4.28878435e+00,2.11172120e+00,4.24957025e+00
5.76130653e+00,2.94206431e+03,2.05567851e+00,4.29310949e+00,2.11484074e+00,4.25616350e+00
5.78140704e+00,3.02519845e+03,2.05671953e+00,4.29737641e+00,2.11794262e+00,4.26272602e+00
5.80150754e+00,3.11068173e+03,2.05772029e+00,4.30158492e+00,2.12102685e+00,4.26925787e+00
5.82160804e+00,3.19858051e+03,2.05868062e+00,4.30573481e+00,2.12409344e+00,4.27575915e+00
5.84170854e+00,3.28896305e+03,2.05960034e+00,4.30982590e+00,2.12714240e+00,4.28222992e+00
5.86180905e+00,3.38189954e+03,2.06047930e+00,4.31385798e+00,2.13017373e+00,4.28867028e+00
5.88190955e+00,3.47746215e+03,2.06131731e+00,4.31783084e+00,2.13318746e+00,4.29508029e+00
5.90201005e+00,3.57572507e+03,2.06211421e+00,4.32174427e+00,2.13618358e+00,4.30146003e+00
5.92211055e+00,3.67676462e+03,2.06286981e+00,4.32559804e+00,2.13916209e+00,4.30780956e+00
5.94221106e+00,3.78065925e+03,2.06358395e+00,4.32939194e+00,2.14212301e+00,4.31412895e+00
5.96231156e+00,3.88748964e+03,2.06425643e+00,4.33312574e+00,2.14506633e+00,4.32041828e+00
5.98241206e+00,3.99733875e+03,2.06488710e+00,4.33679922e+00,2.14799206e+00,4.32667761e+00
6.00251256e+00,4.11029187e+03,2.06547575e+00,4.34041213e+00,2.15090019e+00,4.33290700e+00
6.02261307e+00,4.22643671e+03,2.06602222e+00,4.34396424e+00,2.15379072e+00,4.33910652e+00
6.04271357e+00,4.34586347e+03,2.06652632e+00,4.34745530e+00,2.15666366e+00,4.34527621e+00
6.06281407e+00,4.46866488e+03,2.06698787e+00,4.35088507e+00,2.15951899e+00,4.35141615e+00
6.08291457e+00,4.59493630e+03,2.06740668e+00,4.35425330e+00,2.16235671e+00,4.35752639e+00
6.10301508e+00,4.72477578e+03,2.06778256e+00,4.35755974e+00,2.16517682e+00,4.36360697e+00
6.12311558e+00,4.85828415e+03,2.06811533e+00,4.36080411e+00,2.16797930e+00,4.36965796e+00
6.14321608e+00,4.99556507e+03,2.06840481e+00,4.36398616e+00,2.17076415e+00,4.37567941e+00
