# K,N,SU_shared_P2,SU_shared_P4,SU_MPI_P2,SU_MPI_P4
5.00000000e+00,1.02400000e+03,3.76789751e+00,7.54147813e+00,3.63530609e+00,7.27166958e+00
5.02512563e+00,1.06029592e+03,3.76889168e+00,7.54354048e+00,3.63694557e+00,7.27496269e+00
5.05025126e+00,1.09787837e+03,3.76987473e+00,7.54558169e+00,3.63856986e+00,7.27822566e+00
5.07537688e+00,1.13679293e+03,3.77084680e+00,7.54760201e+00,3.64017918e+00,7.28145887e+00
5.10050251e+00,1.17708682e+03,3.77180800e+00,7.54960170e+00,3.64177371e+00,7.28466273e+00
5.12562814e+00,1.21880895e+03,3.77275846e+00,7.55158103e+00,3.64335365e+00,7.28783762e+00
5.15075377e+00,1.26200992e+03,3.77369828e+00,7.55354024e+00,3.64491919e+00,7.29098392e+00
5.17587940e+00,1.30674217e+03,3.77462759e+00,7.55547957e+00,3.64647050e+00,7.29410201e+00
5.20100503e+00,1.35305995e+03,3.77554649e+00,7.55739926e+00,3.64800778e+00,7.29719225e+00
5.22613065e+00,1.40101949e+03,3.77645509e+00,7.55929955e+00,3.64953120e+00,7.30025501e+00
5.25125628e+00,1.45067896e+03,3.77735351e+00,7.56118067e+00,3.65104094e+00,7.30329063e+00
5.27638191e+00,1.50209862e+03,3.77824183e+00,7.56304284e+00,3.65253716e+00,7.30629946e+00
5.30150754e+00,1.55534086e+03,3.77912017e+00,7.56488627e+00,3.65402004e+00,7.30928185e+00
5.32663317e+00,1.61047029e+03,3.77998861e+00,7.56671120e+00,3.65548975e+00,7.31223813e+00
5.35175879e+00,1.66755380e+03,3.78084727e+00,7.56851782e+00,3.65694644e+00,7.31516863e+00
5.37688442e+00,1.72666064e+03,3.78169622e+00,7.57030634e+00,3.65839027e+00,7.31807367e+00
5.40201005e+00,1.78786254e+03,3.78253557e+00,7.57207698e+00,3.65982141e+00,7.32095358e+00
5.42713568e+00,1.85123375e+03,3.78336540e+00,7.57382991e+00,3.66124001e+00,7.32380865e+00
5.45226131e+00,1.91685117e+03,3.78418580e+00,7.57556535e+00,3.66264622e+00,7.32663921e+00
5.47738693e+00,1.98479442e+03,3.78499685e+00,7.57728347e+00,3.66404018e+00,7.32944556e+00
5.50251256e+00,2.05514593e+03,3.78579864e+00,7.57898446e+00,3.66542205e+00,7.33222798e+00
5.52763819e+00,2.12799107e+03,3.78659125e+00,7.58066852e+00,3.66679196e+00,7.33498678e+00
5.55276382e+00,2.20341822e+03,3.78737475e+00,7.58233580e+00,3.66815007e+00,7.33772223e+00
5.57788945e+00,2.28151891e+03,3.78814922e+00,7.58398650e+00,3.66949650e+00,7.34043462e+00
5.60301508e+00,2.36238789e+03,3.78891474e+00,7.58562077e+00,3.67083140e+00,7.34312423e+00
5.62814070e+00,2.44612329e+03,3.78967138e+00,7.58723880e+00,3.67215490e+00,7.34579133e+00
5.65326633e+00,2.53282672e+03,3.79041920e+00,7.58884073e+00,3.67346712e+00,7.34843619e+00
5.67839196e+00,2.62260336e+03,3.79115829e+00,7.59042674e+00,3.67476821e+00,7.35105907e+00
5.70351759e+00,2.71556217e+03,3.79188870e+00,7.59199697e+00,3.67605828e+00,7.35366022e+00
5.72864322e+00,2.81181592e+03,3.79261051e+00,7.59355158e+00,3.67733746e+00,7.35623991e+00
5.75376884e+00,2.91148140e+03,3.79332376e+00,7.59509073e+00,3.67860588e+00,7.35879839e+00
5.77889447e+00,3.01467956e+03,3.79402853e+00,7.59661455e+00,3.67986365e+00,7.36133589e+00
5.80402010e+00,3.12153559e+03,3.79472488e+00,7.59812320e+00,3.68111090e+00,7.36385266e+00
5.82914573e+00,3.23217917e+03,3.79541285e+00,7.59961681e+00,3.68234773e+00,7.36634895e+00
5.85427136e+00,3.34674453e+03,3.79609252e+00,7.60109552e+00,3.68357427e+00,7.36882498e+00
5.87939698e+00,3.46537069e+03,3.79676392e+00,7.60255946e+00,3.68479063e+00,7.37128098e+00
5.90452261e+00,3.58820158e+03,3.79742712e+00,7.60400877e+00,3.68599692e+00,7.37371719e+00
5.92964824e+00,3.71538624e+03,3.79808217e+00,7.60544357e+00,3.68719324e+00,7.37613382e+00
5.95477387e+00,3.84707900e+03,3.79872911e+00,7.60686400e+00,3.68837970e+00,7.37853109e+00
5.97989950e+00,3.98343963e+03,3.79936800e+00,7.60827016e+00,3.68955642e+00,7.38090922e+00
6.00502513e+00,4.12463360e+03,3.79999887e+00,7.60966219e+00,3.69072348e+00,7.38326842e+00
6.03015075e+00,4.27083222e+03,3.80062178e+00,7.61104019e+00,3.69188100e+00,7.38560890e+00
6.05527638e+00,4.42221289e+03,3.80123676e+00,7.61240429e+00,3.69302907e+00,7.38793086e+00
6.08040201e+00,4.57895928e+03,3.80184387e+00,7.61375460e+00,3.69416780e+00,7.39023451e+00
6.10552764e+00,4.74126159e+03,3.80244312e+00,7.61509121e+00,3.69529727e+00,7.39252004e+00
6.13065327e+00,4.90931673e+03,3.80303458e+00,7.61641425e+00,3.69641758e+00,7.39478766e+00
6.15577889e+00,5.08332864e+03,3.80361826e+00,7.61772381e+00,3.69752883e+00,7.39703755e+00
6.18090452e+00,5.26350844e+03,3.80419421e+00,7.61902000e+00,3.69863111e+00,7.39926990e+00
6.20603015e+00,5.45007475e+03,3.80476247e+00,7.62030291e+00,3.69972450e+00,7.40148490e+00
6.23115578e+00,5.64325395e+03,3.80532305e+00,7.62157263e+00,3.70080910e+00,7.40368273e+00
6.25628141e+00,5.84328043e+03,3.80587600e+00,7.62282927e+00,3.70188500e+00,7.40586358e+00
